37, Private,323155, 1st-4th,2, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,85, Mexico, <=50K
24, Private,275421, Assoc-voc,11, Never-married, Machine-op-inspct, Own-child, White, Female,0,0,40, United-States, <=50K
18, Local-gov,155905, Masters,14, Never-married, Prof-specialty, Own-child, White, Female,0,0,60, United-States, <=50K
28, State-gov,288731, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,20, United-States, <=50K
23, Private,32616, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,0,0,20, United-States, <=50K
51, Private,99987, 10th,6, Separated, Machine-op-inspct, Unmarried, Black, Female,0,0,40, United-States, <=50K
42, Self-emp-not-inc,222978, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,0,0,45, United-States, <=50K
48, ?,61985, 9th,5, Separated, ?, Not-in-family, Amer-Indian-Eskimo, Female,0,0,20, United-States, <=50K
56, Self-emp-not-inc,53366, 11th,7, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,20, United-States, <=50K
57, Self-emp-not-inc,50990, HS-grad,9, Married-civ-spouse, Farming-fishing, Husband, White, Male,0,0,30, United-States, <=50K
34, Private,171159, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,0,0,30, United-States, <=50K
24, Private,37072, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,40, United-States, <=50K
32, Private,47932, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,40, United-States, <=50K
56, ?,35723, HS-grad,9, Divorced, ?, Own-child, White, Male,0,0,40, United-States, <=50K
24, Private,85041, HS-grad,9, Separated, Other-service, Unmarried, White, Female,0,0,25, United-States, <=50K
28, Private,213081, 11th,7, Never-married, Other-service, Not-in-family, Black, Female,0,0,40, Jamaica, <=50K
62, Self-emp-inc,24050, HS-grad,9, Widowed, Sales, Not-in-family, White, Female,0,0,15, United-States, <=50K
33, Private,102821, 12th,8, Married-civ-spouse, Protective-serv, Husband, White, Male,0,0,40, United-States, <=50K
26, Private,152855, HS-grad,9, Never-married, Exec-managerial, Own-child, Other, Female,0,0,40, Mexico, <=50K
30, Private,167309, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,1902,40, United-States, >50K
51, Self-emp-not-inc,218311, Some-college,10, Divorced, Sales, Unmarried, White, Female,0,0,50, United-States, <=50K
33, Self-emp-not-inc,118267, Assoc-acdm,12, Divorced, Sales, Not-in-family, White, Male,0,0,60, United-States, <=50K
26, Private,177951, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,0,0,48, United-States, <=50K
23, Private,50953, Some-college,10, Never-married, Priv-house-serv, Own-child, White, Female,0,0,10, United-States, <=50K
24, Private,214542, Some-college,10, Never-married, Craft-repair, Own-child, White, Male,0,0,60, Canada, <=50K
20, State-gov,177787, Some-college,10, Never-married, Other-service, Own-child, White, Female,0,0,20, United-States, <=50K
