mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
2.1132245540618895,0.05779511692081064,0.04299836158752442,0.009144800912459833,relu,10.0,"(500,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate_init': 1e-06}",0.509375,0.45,0.515625,0.475,0.490625,0.488125,0.023832094956172025,3359,0.48203125,0.496875,0.48046875,0.49296875,0.48671875,0.4878125,0.006281172263200558
3.0998276710510253,0.2802593610042983,0.04039864540100098,0.0054289068625170585,relu,10.0,"(500,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate_init': 0.001}",0.584375,0.49375,0.571875,0.5625,0.56875,0.55625,0.0320522035123952,1056,0.83671875,0.85703125,0.89453125,0.765625,0.83984375,0.8387499999999999,0.041948396497959256
2.5547340869903565,0.3122941968085084,0.03920192718505859,0.004353348420341727,relu,10.0,"(500,)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate_init': 0.002}",0.590625,0.459375,0.578125,0.5625,0.58125,0.554375,0.048355777834711754,1190,0.86796875,0.91796875,0.86875,0.715625,0.875,0.8490624999999999,0.06924079079108646
2.0120055198669435,0.050467590336511214,0.040005970001220706,0.012995074467584758,relu,10.0,"(500,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate_init': 0.004}",0.584375,0.5,0.5875,0.609375,0.60625,0.5775,0.03999023318261597,57,0.8140625,0.83046875,0.81953125,0.81328125,0.79296875,0.8140625,0.012203515118604145
4.152481508255005,0.7400250457464821,0.033403539657592775,0.005855122711795091,relu,10.0,"(500,)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate_init': 0.008}",0.575,0.528125,0.59375,0.5625,0.578125,0.5675,0.0220617032434035,337,0.86171875,0.8765625,0.890625,0.91171875,0.87734375,0.88359375,0.01677778711943266
4.161847686767578,0.7537939211093502,0.033803033828735354,0.00805279759980771,relu,10.0,"(500,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate_init': 0.016}",0.58125,0.525,0.575,0.596875,0.59375,0.574375,0.02595067436503337,90,0.86484375,0.85625,0.82421875,0.8109375,0.809375,0.8331250000000001,0.023136610261120804
4.244901466369629,0.7157216910759978,0.02920050621032715,0.008160605415266194,relu,10.0,"(500,)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate_init': 0.032}",0.6125,0.578125,0.59375,0.5875,0.603125,0.595,0.011956954043568132,2,0.81875,0.80625,0.76875,0.784375,0.74453125,0.7845312499999999,0.026426120482393928
3.378713512420654,0.6391074700149382,0.032604026794433597,0.006156183244565079,relu,10.0,"(500,)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate_init': 0.064}",0.584375,0.521875,0.5625,0.590625,0.5625,0.564375,0.024092919084245473,494,0.759375,0.75,0.7203125,0.7171875,0.7078125,0.7309374999999999,0.020043897138530737
2.861996126174927,0.4103095697029668,0.025598859786987303,0.002730937543766634,relu,10.0,"(500,)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (500,), 'MLP__learning_rate_init': 0.128}",0.565625,0.5125,0.559375,0.5125,0.596875,0.549375,0.03267979115600347,1553,0.7359375,0.6125,0.7203125,0.63359375,0.7015625,0.68078125,0.04883806148896576
1.0602344036102296,0.10127218806257542,0.027797842025756837,0.00805979852538115,relu,10.0,"(250,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate_init': 1e-06}",0.453125,0.49375,0.5,0.540625,0.5,0.4975,0.027768574864403837,3254,0.5046875,0.49765625,0.49921875,0.4890625,0.49765625,0.49765625,0.005014627042462861
1.474201536178589,0.21517700836940692,0.023599529266357423,0.004077780795526869,relu,10.0,"(250,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate_init': 0.001}",0.55,0.509375,0.571875,0.553125,0.578125,0.5525,0.02407670035532277,1347,0.734375,0.87265625,0.8046875,0.903125,0.725,0.8079687499999999,0.07148399077765594
1.24304518699646,0.2881496425966664,0.020600032806396485,0.0030730101137221443,relu,10.0,"(250,)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate_init': 0.002}",0.540625,0.484375,0.59375,0.5625,0.6125,0.55875,0.04469514794695282,845,0.728125,0.93359375,0.89765625,0.8421875,0.8328125,0.846875,0.06988585839155874
1.0047062397003175,0.08785282463809953,0.020820474624633788,0.003741470122068872,relu,10.0,"(250,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate_init': 0.004}",0.5875,0.5125,0.603125,0.5625,0.628125,0.57875,0.03939979378118624,35,0.89609375,0.81796875,0.89375,0.81640625,0.80390625,0.8456250000000001,0.04055161641352907
1.0990126609802247,0.2897439067390188,0.02004246711730957,0.003083161208924938,relu,10.0,"(250,)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (250,), 'MLP__learning_rate_init': 0.008}",0.584375,0.5,0.6125,0.528125,0.621875,0.569375,0.04765599385177063,256,0.828125,0.83671875,0.81875,0.8390625,0.89140625,0.8428125,0.025326963460411106
