,0,1,2,3,4
64,1.0,1.0,1.0,1.0,1.0
67,1.0,1.0,1.0,1.0,1.0
70,1.0,1.0,1.0,1.0,1.0
73,1.0,1.0,1.0,1.0,1.0
76,1.0,1.0,1.0,1.0,1.0
80,1.0,1.0,1.0,1.0,1.0
83,1.0,1.0,1.0,1.0,1.0
86,1.0,1.0,1.0,1.0,1.0
89,1.0,1.0,1.0,1.0,1.0
92,1.0,1.0,1.0,1.0,1.0
96,1.0,1.0,1.0,1.0,1.0
99,1.0,1.0,1.0,1.0,1.0
102,1.0,1.0,1.0,1.0,1.0
105,1.0,1.0,1.0,1.0,1.0
108,1.0,1.0,1.0,1.0,1.0
112,1.0,1.0,1.0,1.0,1.0
115,1.0,1.0,1.0,1.0,1.0
118,1.0,1.0,1.0,1.0,1.0
121,1.0,1.0,1.0,1.0,1.0
124,1.0,1.0,1.0,1.0,1.0
128,1.0,1.0,1.0,1.0,1.0
188,1.0,1.0,1.0,1.0,1.0
249,1.0,1.0,1.0,1.0,1.0
309,0.9420110654707016,0.9189789588398022,0.9189789588398022,0.9189789588398022,0.9189789588398022
370,0.9325911640953717,0.9270102851799907,0.910881252921926,0.910881252921926,0.910881252921926
431,0.9025390877374339,0.9024314080199852,0.921156330749354,0.921156330749354,0.921156330749354
491,0.8981134266940995,0.8838936085484834,0.9226605565517699,0.9226605565517699,0.9226605565517699
552,0.9201228878648233,0.8965496868722675,0.905829831932773,0.905829831932773,0.905829831932773
613,0.918065526276548,0.9112167948362908,0.9120358541986034,0.9120358541986034,0.9120358541986034
673,0.8914612598286069,0.9060385193038255,0.9008392967576642,0.9154420206659014,0.9154420206659014
734,0.8731517307449518,0.881595656984991,0.8937936770810899,0.8977354568066229,0.8977354568066229
794,0.8967725149761397,0.9119517209869021,0.8906487968321656,0.8790931989924433,0.8790931989924433
855,0.8971409028727769,0.9087551299589602,0.8877564979480164,0.9018188384385566,0.9018188384385566
916,0.9116073854778965,0.9105275954291271,0.8843695027245033,0.8874448656510027,0.8874448656510027
976,0.8695743465699121,0.8817022777665793,0.8879678156285695,0.8870355439091582,0.8751128637361991
1037,0.8918540893230462,0.8995524919835429,0.8905967517539487,0.8968852995662556,0.8892613454569807
1098,0.8720131421744325,0.886678614097969,0.8809438470728793,0.883273596176822,0.88082519037112
1158,0.8933009071377417,0.8842683217951777,0.8653944855574124,0.8811739078539031,0.8732488902677676
1219,0.8800293428809864,0.876602417422672,0.873345088432444,0.8981990470293698,0.8785606611214298
1280,0.8828125,0.88203125,0.88671875,0.88046875,0.88125
