,0,1,2,3,4
0.001,0.998125,1.0,0.995,0.998125,0.999375
0.101,0.998125,1.0,0.995,0.998125,0.999375
0.201,0.998125,1.0,0.995,0.998125,0.999375
0.30100000000000005,0.998125,1.0,0.995625,0.998125,0.999375
0.401,0.99875,0.99875,0.99625,0.998125,0.999375
0.501,0.998125,1.0,0.9975,0.998125,0.999375
0.6010000000000001,0.999375,1.0,0.99875,0.99875,0.999375
0.7010000000000001,0.999375,1.0,0.99875,0.99875,0.999375
0.801,1.0,1.0,0.99875,0.99875,0.999375
0.901,1.0,1.0,0.999375,0.999375,0.999375
1.001,1.0,1.0,0.999375,1.0,0.999375
1.101,1.0,1.0,0.999375,1.0,0.999375
1.201,1.0,1.0,0.999375,1.0,0.999375
1.301,1.0,1.0,1.0,1.0,1.0
1.401,1.0,1.0,1.0,1.0,1.0
1.501,1.0,1.0,1.0,1.0,1.0
1.601,1.0,1.0,1.0,1.0,1.0
1.701,1.0,1.0,1.0,1.0,1.0
1.801,1.0,1.0,1.0,1.0,1.0
1.901,1.0,1.0,1.0,1.0,1.0
2.001,1.0,1.0,1.0,1.0,1.0
2.101,1.0,1.0,1.0,1.0,1.0
2.201,1.0,1.0,1.0,1.0,1.0
2.301,1.0,1.0,1.0,1.0,1.0
2.4010000000000002,1.0,1.0,1.0,1.0,1.0
