,0,1,2,3,4
0.001,0.825625,0.828125,0.85,0.82375,0.82375
0.101,0.825625,0.828125,0.85,0.82375,0.82375
0.201,0.825625,0.828125,0.85,0.82375,0.82375
0.30100000000000005,0.824375,0.83625,0.851875,0.8275,0.8275
0.401,0.850625,0.858125,0.875,0.85,0.854375
0.501,0.876875,0.895625,0.900625,0.880625,0.881875
0.6010000000000001,0.90625,0.925,0.9275,0.910625,0.91125
0.7010000000000001,0.92875,0.943125,0.946875,0.935625,0.938125
0.801,0.95125,0.961875,0.960625,0.953125,0.950625
0.901,0.9675,0.97375,0.9725,0.965625,0.965
1.001,0.976875,0.980625,0.98,0.976875,0.97625
1.101,0.983125,0.986875,0.9875,0.98125,0.981875
1.201,0.989375,0.99,0.993125,0.9875,0.985625
1.301,0.99375,0.99375,0.99375,0.993125,0.9925
1.401,0.995625,0.9975,0.995625,0.994375,0.994375
1.501,0.99875,0.998125,0.99625,0.995625,0.9975
1.601,1.0,0.99875,0.9975,0.99875,0.99875
1.701,1.0,0.999375,0.998125,0.99875,0.999375
1.801,1.0,1.0,0.99875,0.999375,1.0
1.901,1.0,1.0,0.999375,1.0,1.0
2.001,1.0,1.0,1.0,1.0,1.0
2.101,1.0,1.0,1.0,1.0,1.0
2.201,1.0,1.0,1.0,1.0,1.0
2.301,1.0,1.0,1.0,1.0,1.0
2.4010000000000002,1.0,1.0,1.0,1.0,1.0
