iterations,fitness,time,fevals
0,25.0,0.2194854,1000
10,32.0,0.4382019,2100
20,37.0,0.6218544,3200
30,37.0,0.7893613,4300
40,38.0,0.9659397,5400
50,35.0,1.1388228,6500
60,38.0,1.3242386,7600
70,43.0,1.5191762,8700
80,42.0,1.682981,9800
90,43.0,1.8482869,10900
100,40.0,2.0272725,12000
110,43.0,2.1978589,13100
120,43.0,2.3803156,14200
130,41.0,2.5567359,15300
140,42.0,2.7328623,16400
150,42.0,2.9005366,17500
160,41.0,3.0933446,18600
170,42.0,3.2841969,19700
180,42.0,3.4770361,20800
190,42.0,3.6457222,21900
200,42.0,3.817343,23000
210,42.0,3.9954795,24100
220,42.0,4.1602682,25200
230,43.0,4.3326186,26300
240,41.0,4.5029134,27400
250,42.0,4.6749273,28500
260,43.0,4.8463807,29600
270,42.0,5.0352034,30700
280,42.0,5.2262818,31800
290,44.0,5.3999616,32900
300,42.0,5.5440971,34000
310,42.0,5.7076016,35100
320,42.0,5.8774695,36200
330,42.0,6.0392438,37300
340,42.0,6.1936179,38400
350,42.0,6.3458431,39500
360,43.0,6.5022436,40600
370,42.0,6.6867667,41700
380,42.0,6.8724695,42800
390,42.0,7.0422802,43900
400,42.0,7.2117463,45000
410,43.0,7.3850762,46100
420,42.0,7.5505957,47200
430,43.0,7.7220038,48300
440,42.0,7.9006584,49400
450,42.0,8.069146,50500
460,42.0,8.2570301,51600
470,42.0,8.4313084,52700
480,42.0,8.6043706,53800
490,42.0,8.8009549,54900
500,42.0,8.9845872,56000
510,42.0,9.1627164,57100
520,42.0,9.3242092,58200
530,43.0,9.4967106,59300
540,43.0,9.6687641,60400
550,42.0,9.8448379,61500
560,42.0,10.0025813,62600
570,42.0,10.1651435,63700
580,43.0,10.3226857,64800
590,43.0,10.5051732,65900
600,42.0,10.697121,67000
610,42.0,10.8782471,68100
620,42.0,11.0481804,69200
630,42.0,11.216228,70300
640,42.0,11.3638235,71400
650,43.0,11.5119192,72500
660,44.0,11.6692474,73600
670,42.0,11.8238606,74700
680,42.0,11.969078,75800
690,42.0,12.115355,76900
700,44.0,12.2788987,78000
710,42.0,12.4592443,79100
720,42.0,12.6429968,80200
730,42.0,12.8134223,81300
740,42.0,12.9597527,82400
750,42.0,13.1017208,83500
760,43.0,13.2782548,84600
770,44.0,13.4165419,85700
780,42.0,13.5556824,86800
790,42.0,13.7011374,87900
800,42.0,13.8418806,89000
810,42.0,13.9871924,90100
820,42.0,14.1583582,91200
830,43.0,14.3245636,92300
840,43.0,14.4914978,93400
850,43.0,14.6405927,94500
860,43.0,14.7949888,95600
870,44.0,14.9409013,96700
880,42.0,15.088198,97800
890,42.0,15.238327,98900
900,42.0,15.3901382,100000
910,42.0,15.5365449,101100
920,42.0,15.6933475,102200
930,41.0,15.8741677,103300
940,42.0,16.0156543,104400
950,42.0,16.1623649,105500
960,43.0,16.2983405,106600
970,43.0,16.4333175,107700
980,42.0,16.5689062,108800
990,42.0,16.7249657,109900
1000,45.0,16.8723815,111000
1010,42.0,17.014113,112100
1020,42.0,17.1573787,113200
1030,42.0,17.3225255,114300
1040,42.0,17.4934145,115400
1050,42.0,17.6649724,116500
1060,42.0,17.8308648,117600
1070,43.0,17.9976268,118700
1080,42.0,18.1387554,119800
1090,41.0,18.2810742,120900
1100,42.0,18.4327975,122000
1110,42.0,18.5735485,123100
1120,42.0,18.7101612,124200
1130,42.0,18.8866748,125300
1140,43.0,19.067215,126400
1150,42.0,19.2305053,127500
1160,42.0,19.3941016,128600
1170,42.0,19.5443373,129700
1180,43.0,19.6865967,130800
1190,42.0,19.8232592,131900
1200,42.0,19.9701283,133000
1210,43.0,20.0986813,134100
1220,42.0,20.2369189,135200
1230,42.0,20.3843586,136300
1240,42.0,20.5636378,137400
1250,43.0,20.7473702,138500
1260,42.0,20.8922812,139600
1270,42.0,21.0521565,140700
1280,42.0,21.219026,141800
1290,42.0,21.3790032,142900
1300,42.0,21.5437659,144000
1310,42.0,21.6974562,145100
