iterations,fitness,time,fevals
0,15.0,0.0002469,11
10,15.0,0.0003926,21
20,15.0,0.0005029,31
30,15.0,0.000589,41
40,15.0,0.0007173,51
50,15.0,0.0008038,61
60,15.0,0.0008974,71
70,15.0,0.0009897,81
80,15.0,0.0010767,91
90,15.0,0.0012405,101
100,15.0,0.00133,111
110,15.0,0.0014259,121
120,15.0,0.0015587,131
130,22.0,0.0016496,141
140,22.0,0.0017432,151
150,22.0,0.0021399,161
160,22.0,0.0022977,171
170,22.0,0.0024264,181
180,22.0,0.0025582,191
190,22.0,0.0026625,201
200,22.0,0.0028497,211
210,22.0,0.0029823,221
220,22.0,0.0031001,231
230,23.0,0.0032441,241
240,23.0,0.0033819,251
250,23.0,0.0035311,261
260,24.0,0.0036498,271
270,24.0,0.0038049,281
280,24.0,0.003923,291
290,24.0,0.0040143,301
300,24.0,0.0041938,311
310,24.0,0.0043015,321
320,24.0,0.0044277,331
330,25.0,0.0045502,341
340,26.0,0.0047682,351
350,26.0,0.0049086,361
360,26.0,0.0049881,371
370,26.0,0.0051187,381
380,29.0,0.0052008,391
390,29.0,0.0052868,401
400,31.0,0.0053742,411
410,31.0,0.0055203,421
420,31.0,0.0056609,431
430,31.0,0.0057767,441
440,31.0,0.0058882,451
450,31.0,0.0059771,461
460,31.0,0.0060781,471
470,31.0,0.0061615,481
480,31.0,0.0062836,491
490,31.0,0.0064081,501
500,31.0,0.0065191,511
510,31.0,0.0067361,521
520,31.0,0.0069076,531
530,31.0,0.0070331,541
540,31.0,0.0071519,551
550,31.0,0.0072371,561
560,31.0,0.0073383,571
570,31.0,0.0074615,581
580,31.0,0.0075465,591
590,31.0,0.0076766,601
600,31.0,0.0077577,611
610,31.0,0.0078698,621
620,31.0,0.0080171,631
630,31.0,0.008143,641
640,31.0,0.0082251,651
650,31.0,0.0083081,661
660,31.0,0.0084076,671
670,31.0,0.0085996,681
680,32.0,0.0087784,691
690,32.0,0.0089164,701
700,32.0,0.0090151,711
710,32.0,0.0091428,721
720,32.0,0.0092562,731
730,32.0,0.0093549,741
740,32.0,0.0094561,751
750,32.0,0.0096026,761
760,32.0,0.0097104,771
770,32.0,0.0098188,781
780,32.0,0.0099239,791
790,32.0,0.0100264,801
800,32.0,0.0101079,811
810,32.0,0.0102202,821
820,32.0,0.0102966,831
830,32.0,0.010504,841
840,32.0,0.0106225,851
850,32.0,0.0107495,861
860,32.0,0.0109378,871
870,32.0,0.0110148,881
880,32.0,0.0111679,891
890,32.0,0.0112709,901
900,33.0,0.0113834,911
910,33.0,0.0114933,921
920,33.0,0.0115934,931
930,33.0,0.0116976,941
940,34.0,0.0117718,951
950,34.0,0.0118997,961
960,34.0,0.0119773,971
970,36.0,0.0120576,981
980,36.0,0.0121619,991
990,36.0,0.012256,1001
1000,36.0,0.0123526,1011
1010,36.0,0.0124767,1021
1020,36.0,0.0126032,1031
1030,36.0,0.0126992,1041
1040,36.0,0.0128029,1051
