iterations,fitness,time,fevals
0,538.0,0.0133774,591
10,550.0,0.0262238999999,1067
20,544.0,0.0405757999999,1558
30,535.0,0.0570435999999,2038
40,545.0,0.0692463999999,2514
50,551.0,0.0856973999999,2979
60,542.0,0.1037983,3459
70,547.0,0.1182042,3945
80,550.0,0.1309064,4440
90,539.0,0.1442891,4925
100,545.0,0.1549843,5406
110,548.0,0.1673611,5891
120,550.0,0.1804076,6372
130,543.0,0.1907069,6849
140,546.0,0.2080907,7332
150,549.0,0.2233818,7816
160,550.0,0.239341,8289
170,540.0,0.2538548,8780
180,544.0,0.2673857,9271
190,546.0,0.2820222,9748
200,554.0,0.2978354,10224
210,554.0,0.3136869,10709
220,552.0,0.3287542,11186
230,554.0,0.3429704,11665
240,556.0,0.3584213,12155
250,558.0,0.3725054,12624
260,556.0,0.3873104,13118
270,556.0,0.3998271,13603
280,556.0,0.4166308,14073
290,560.0,0.4316787,14548
300,560.0,0.4501828,15029
310,558.0,0.465428,15506
320,562.0,0.480527,15998
330,560.0,0.4947552,16488
340,560.0,0.5103588,16976
350,560.0,0.521375,17455
360,564.0,0.5355818,17954
370,564.0,0.5494988,18441
380,564.0,0.5632088,18934
390,562.0,0.5751371,19418
400,568.0,0.5902657,19886
410,564.0,0.6025496,20362
420,560.0,0.6151976,20845
430,566.0,0.629657,21324
440,566.0,0.646864,21818
450,566.0,0.659996,22306
460,562.0,0.6735015,22771
470,568.0,0.6877479,23261
480,566.0,0.6990696,23749
490,568.0,0.7112301,24239
500,572.0,0.7256495,24710
510,570.0,0.7396716,25200
520,572.0,0.7535165,25686
530,570.0,0.763562,26162
540,568.0,0.7811382,26643
550,570.0,0.7940187,27123
560,570.0,0.8078202,27601
570,574.0,0.8227997,28083
580,570.0,0.8333692,28567
590,572.0,0.8489829,29049
600,570.0,0.8642566,29526
610,568.0,0.8743437,30000
620,568.0,0.8880518,30489
630,570.0,0.9022774,30960
640,574.0,0.9174143,31446
650,576.0,0.9339831,31910
660,574.0,0.9486801,32384
670,574.0,0.9635592,32867
680,572.0,0.9768668,33351
690,566.0,0.9944583,33833
700,570.0,1.0111544,34316
710,567.0,1.0256697,34796
720,564.0,1.0432826,35265
730,572.0,1.0597731,35743
740,572.0,1.0739471,36218
750,570.0,1.089069,36691
760,566.0,1.1047291,37173
770,564.0,1.1206246,37663
780,562.0,1.1380838,38151
790,562.0,1.1540708,38630
800,566.0,1.1692457,39108
810,566.0,1.1865175,39592
820,564.0,1.2012198,40080
830,564.0,1.2162349,40575
840,566.0,1.2293405,41059
850,568.0,1.242554,41539
860,570.0,1.2541784,42013
870,572.0,1.2665136,42494
880,570.0,1.2838199,42979
890,572.0,1.2987144,43456
900,572.0,1.3131597,43939
910,572.0,1.3278028,44432
920,570.0,1.3413825,44910
930,562.0,1.3542636,45387
940,568.0,1.3696932,45875
950,566.0,1.382434,46353
960,570.0,1.3976444,46841
970,572.0,1.4086426,47325
980,565.0,1.4246314,47808
990,564.0,1.436427,48289
1000,563.0,1.4518475,48787
1010,559.0,1.4649813,49267
1020,561.0,1.4801005,49751
1030,559.0,1.4933809,50238
1040,563.0,1.5050346,50721
1050,559.0,1.5198968,51204
1060,561.0,1.531816,51690
1070,558.0,1.5421683,52174
1080,559.0,1.5580352,52656
1090,558.0,1.5702036,53152
1100,556.0,1.5815761,53638
1110,558.0,1.5977562,54105
1120,560.0,1.6119574,54587
1130,562.0,1.6279842,55074
1140,564.0,1.6424437,55562
1150,564.0,1.6578309,56048
1160,568.0,1.6743153,56522
1170,568.0,1.6882283,56990
1180,564.0,1.701515,57473
1190,564.0,1.7181265,57963
1200,568.0,1.7341052,58442
1210,566.0,1.7497777,58931
1220,568.0,1.7614702,59421
1230,566.0,1.7741601,59907
1240,566.0,1.7853676,60389
1250,568.0,1.8007375,60860
1260,572.0,1.8163705,61330
1270,568.0,1.8306511,61801
1280,566.0,1.8453466,62283
1290,568.0,1.8613516,62766
1300,566.0,1.8728817,63262
1310,570.0,1.8888015,63742
1320,572.0,1.9070162,64228
1330,564.0,1.923194,64710
1340,564.0,1.9388685,65197
1350,564.0,1.9540167,65685
1360,568.0,1.9695013,66151
1370,566.0,1.9857777,66626
1380,568.0,2.0001561,67115
1390,570.0,2.0148752,67588
1400,574.0,2.0320673,68077
1410,570.0,2.0481801,68565
1420,570.0,2.0625429,69046
1430,576.0,2.0792031,69524
1440,578.0,2.0918029,70011
1450,580.0,2.1049712,70495
1460,578.0,2.1187291,70986
1470,574.0,2.1340224,71449
1480,578.0,2.1512881,71930
1490,572.0,2.1641204,72407
1500,574.0,2.1781052,72889
1510,576.0,2.1924728,73359
1520,576.0,2.2074648,73851
1530,576.0,2.2201937,74331
1540,576.0,2.2358148,74813
1550,578.0,2.2507244,75298
1560,578.0,2.2664538,75785
1570,580.0,2.2778946,76279
1580,578.0,2.2937776,76776
1590,574.0,2.3053921,77261
1600,576.0,2.3210317,77736
1610,576.0,2.3348925,78213
1620,576.0,2.3475711,78700
1630,572.0,2.3616243,79168
1640,570.0,2.3729873,79644
1650,568.0,2.3886933,80126
1660,572.0,2.4019197,80602
1670,570.0,2.4146117,81085
1680,568.0,2.4296107,81560
1690,570.0,2.446007,82043
1700,568.0,2.4616051,82536
1710,574.0,2.4781006,83017
1720,574.0,2.4933651,83501
1730,576.0,2.5067081,83989
1740,576.0,2.5208078,84466
1750,578.0,2.5376644,84938
1760,578.0,2.5531504,85424
1770,578.0,2.5656044,85904
1780,580.0,2.5768128,86393
1790,582.0,2.5895091,86876
1800,578.0,2.6019614,87351
1810,580.0,2.614343,87834
1820,576.0,2.6288142,88312
1830,574.0,2.6432748,88800
1840,576.0,2.6583125,89279
1850,576.0,2.6732648,89769
1860,586.0,2.6838769,90250
1870,576.0,2.6954409,90732
1880,584.0,2.7138017,91219
1890,580.0,2.7286109,91712
1900,580.0,2.744314,92194
1910,582.0,2.7616759,92669
1920,580.0,2.7774608,93154
1930,578.0,2.7928709,93643
1940,578.0,2.8054246,94123
1950,580.0,2.821405,94608
1960,582.0,2.8361258,95093
1970,582.0,2.8491238,95565
1980,582.0,2.8657803,96054
1990,576.0,2.8822492,96528
2000,576.0,2.8949586,97002
2010,574.0,2.9125673,97490
2020,578.0,2.9241365,97977
2030,582.0,2.9381612,98460
2040,574.0,2.9534397,98944
2050,572.0,2.9681427,99426
2060,566.0,2.9831968,99912
2070,570.0,2.9970666,100384
2080,572.0,3.0105178,100850
2090,574.0,3.0236077,101334
2100,572.0,3.0348177,101819
2110,572.0,3.0502244,102310
2120,570.0,3.0649818,102790
2130,572.0,3.0804365,103258
2140,574.0,3.0929771,103744
2150,582.0,3.1085353,104225
2160,580.0,3.1201216,104698
2170,584.0,3.1339436,105179
2180,580.0,3.1484803,105660
2190,574.0,3.1653792,106127
2200,574.0,3.1794977,106612
2210,576.0,3.1950117,107094
2220,576.0,3.2086472,107574
2230,578.0,3.2233016,108052
2240,580.0,3.2385031,108543
2250,578.0,3.2512868,109028
2260,584.0,3.2669023,109502
2270,584.0,3.2804929,109990
2280,584.0,3.2944907,110465
2290,582.0,3.3103677,110957
2300,582.0,3.3223152,111433
2310,580.0,3.338937,111921
2320,582.0,3.3536941,112408
2330,584.0,3.3702988,112903
2340,584.0,3.3854426,113390
2350,580.0,3.3998331,113879
2360,584.0,3.4145816,114367
2370,580.0,3.4284148,114845
2380,574.0,3.4431111,115340
2390,580.0,3.4581577,115820
2400,582.0,3.4689758,116300
2410,580.0,3.4843052,116781
2420,578.0,3.4992417,117271
2430,578.0,3.5138288,117766
2440,582.0,3.5253453,118252
2450,582.0,3.5389524,118722
2460,582.0,3.5514182,119205
2470,584.0,3.5664542,119690
2480,584.0,3.5813443,120171
2490,588.0,3.596774,120655
2500,586.0,3.608983,121136
2510,584.0,3.6216716,121625
2520,590.0,3.6346015,122107
2530,590.0,3.6499927,122582
2540,586.0,3.6599224,123058
2550,588.0,3.6794517,123544
2560,590.0,3.6944566,124024
2570,586.0,3.7097186,124504
2580,592.0,3.7264356,124975
2590,582.0,3.7459285,125445
2600,586.0,3.7635249,125924
2610,588.0,3.7784284,126397
2620,590.0,3.7907962,126875
2630,588.0,3.8084842,127354
2640,590.0,3.8201002,127822
2650,588.0,3.8359426,128314
2660,586.0,3.8528032,128797
2670,592.0,3.8685664,129285
2680,590.0,3.8856262,129772
2690,590.0,3.8973591,130255
2700,590.0,3.9108115,130742
2710,594.0,3.9254225,131217
2720,592.0,3.9365432,131696
2730,590.0,3.952516,132186
2740,592.0,3.9664324,132662
2750,592.0,3.9778775,133143
2760,588.0,3.9918791,133617
2770,588.0,4.0077594,134113
2780,582.0,4.0220508,134603
2790,584.0,4.0384377,135089
2800,584.0,4.0517635,135565
2810,586.0,4.0658021,136048
2820,586.0,4.0818177,136519
2830,584.0,4.0939293,136996
2840,586.0,4.1087775,137479
2850,582.0,4.1200259,137962
2860,582.0,4.1336536,138446
2870,582.0,4.1473671,138953
2880,582.0,4.1634847,139425
2890,584.0,4.1773517,139901
2900,574.0,4.1907504,140394
2910,578.0,4.2018537,140876
2920,580.0,4.2132057,141361
2930,578.0,4.2246308,141845
2940,578.0,4.2359454,142319
2950,574.0,4.251645,142802
2960,580.0,4.2672527,143280
2970,576.0,4.2792437,143766
2980,578.0,4.2948464,144248
2990,572.0,4.3070858,144743
3000,572.0,4.3230452,145219
