iterations,fitness,time,fevals
0,553.0,16.6065458,1000
10,600.0,32.1192015,2100
20,647.0,47.3186595,3200
30,687.0,61.6930243,4300
40,711.0,75.7251279,5400
50,737.0,89.3782652,6500
60,743.0,102.635883,7600
70,749.0,115.936491,8700
80,749.0,129.1930499,9800
90,753.0,142.2083078,10900
100,751.0,155.0248269,12000
110,753.0,167.5501601,13100
120,753.0,180.3811273,14200
130,755.0,192.7960433,15300
140,755.0,205.3057636,16400
150,753.0,218.0327331,17500
160,755.0,230.7742944,18600
170,757.0,243.1541396,19700
180,755.0,256.4958365,20800
190,753.0,268.8614372,21900
200,755.0,281.8146968,23000
210,755.0,294.1517362,24100
220,755.0,307.0256892,25200
230,755.0,319.8027261,26300
240,753.0,332.4424818,27400
250,753.0,344.9831198,28500
260,755.0,357.7344505,29600
270,755.0,370.5408461,30700
280,753.0,382.806487,31800
290,759.0,394.8920538,32900
300,755.0,407.4811134,34000
310,753.0,419.9841977,35100
320,755.0,432.5684785,36200
330,753.0,444.8126191,37300
340,753.0,457.2169748,38400
350,755.0,469.2951092,39500
360,755.0,481.6261169,40600
370,755.0,494.0129818,41700
380,753.0,506.5489366,42800
390,753.0,518.604855,43900
400,757.0,531.0848672,45000
410,757.0,543.5919233,46100
420,757.0,555.8746718,47200
430,757.0,568.0133946,48300
440,755.0,580.1515014,49400
450,755.0,592.2069772,50500
460,755.0,604.6617946,51600
470,755.0,617.0955903,52700
480,753.0,629.5395661,53800
490,753.0,641.7914031,54900
500,755.0,653.9623235,56000
510,753.0,666.253384,57100
520,757.0,678.2752827,58200
530,755.0,690.3249784,59300
540,755.0,702.4814672,60400
550,757.0,714.4734767,61500
560,755.0,726.838507,62600
570,755.0,739.1152062,63700
580,753.0,751.2497185,64800
590,755.0,763.5042146,65900
600,755.0,775.6638888,67000
610,753.0,787.9634177,68100
620,755.0,800.1537936,69200
630,753.0,812.2279665,70300
640,755.0,824.6187051,71400
650,753.0,836.9287427,72500
660,755.0,849.2171794,73600
670,753.0,861.1933884,74700
680,753.0,873.1504509,75800
690,753.0,885.1861822,76900
700,753.0,897.2156922,78000
710,755.0,909.5994659,79100
720,753.0,921.4618628,80200
730,755.0,933.3611349,81300
740,753.0,945.6249773,82400
750,755.0,957.7211427,83500
760,757.0,969.8278581,84600
770,753.0,981.978813,85700
780,755.0,993.8186862,86800
790,757.0,1005.8482388,87900
800,757.0,1017.8110234,89000
810,755.0,1030.2284091,90100
820,753.0,1042.1000316,91200
830,753.0,1053.980114,92300
840,755.0,1066.143515,93400
850,755.0,1078.1289138,94500
860,753.0,1090.1331936,95600
870,755.0,1101.9617784,96700
880,755.0,1113.8692459,97800
890,755.0,1126.124581,98900
900,753.0,1138.3318756,100000
910,753.0,1150.6404852,101100
920,753.0,1162.6818374,102200
930,753.0,1174.6954826,103300
940,755.0,1186.8405906,104400
950,755.0,1199.1454446,105500
960,753.0,1211.1400456,106600
970,755.0,1223.1109738,107700
980,755.0,1235.8055904,108800
990,753.0,1248.3950357,109900
1000,753.0,1260.4095052,111000
1010,755.0,1272.2501682,112100
1020,753.0,1284.4740829,113200
1030,755.0,1296.7509306,114300
1040,753.0,1308.8538408,115400
1050,757.0,1320.9794538,116500
1060,753.0,1332.6810438,117600
1070,755.0,1344.739327,118700
1080,755.0,1356.8575155,119800
1090,755.0,1369.1627793,120900
1100,753.0,1381.1736674,122000
1110,755.0,1392.9756581,123100
1120,753.0,1404.9172823,124200
1130,753.0,1416.8050459,125300
1140,753.0,1428.8697602,126400
1150,753.0,1440.8181694,127500
1160,755.0,1452.9073922,128600
1170,755.0,1464.8936741,129700
1180,755.0,1477.2656093,130800
1190,755.0,1489.3028523,131900
1200,755.0,1501.5638255,133000
1210,755.0,1513.6315975,134100
1220,757.0,1525.8732657,135200
1230,755.0,1538.0535782,136300
1240,757.0,1550.1606288,137400
1250,757.0,1561.8833406,138500
1260,757.0,1574.0003438,139600
1270,757.0,1586.0030063,140700
1280,755.0,1598.1687227,141800
1290,757.0,1610.1046464,142900
1300,757.0,1622.0975977,144000
1310,757.0,1634.1881168,145100
1320,757.0,1646.3364935,146200
1330,755.0,1658.4837084,147300
1340,755.0,1670.9452799,148400
1350,759.0,1682.9058975,149500
1360,757.0,1695.3176266,150600
1370,757.0,1707.6375219,151700
1380,761.0,1719.8313144,152800
1390,759.0,1731.961631,153900
1400,759.0,1743.8388053,155000
1410,757.0,1755.9155737,156100
1420,757.0,1767.9041998,157200
1430,759.0,1779.9721105,158300
1440,759.0,1792.3662036,159400
1450,759.0,1804.5452704,160500
1460,759.0,1816.5659769,161600
1470,759.0,1828.6071729,162700
1480,761.0,1840.6559324,163800
1490,759.0,1852.9767336,164900
1500,757.0,1865.2426384,166000
1510,761.0,1877.3564322,167100
1520,759.0,1889.3785827,168200
1530,759.0,1901.7721683,169300
1540,759.0,1914.4194035,170400
1550,761.0,1926.6673073,171500
1560,759.0,1938.6959434,172600
1570,759.0,1951.0738957,173700
1580,759.0,1963.3327353,174800
1590,759.0,1975.5550608,175900
1600,757.0,1987.6788969,177000
1610,761.0,1999.9067878,178100
1620,757.0,2012.3188139,179200
1630,759.0,2024.3337069,180300
1640,759.0,2036.5621168,181400
1650,759.0,2048.7146291,182500
1660,759.0,2061.2298193,183600
1670,757.0,2073.6658822,184700
1680,759.0,2085.9286017,185800
1690,757.0,2097.9985393,186900
1700,759.0,2110.3081326,188000
1710,759.0,2122.4491661,189100
1720,757.0,2134.6230801,190200
1730,757.0,2146.8294962,191300
1740,759.0,2158.9495806,192400
1750,757.0,2171.3485408,193500
1760,759.0,2183.45254,194600
1770,759.0,2195.6865789,195700
1780,759.0,2208.0205868,196800
1790,759.0,2220.2272203,197900
1800,757.0,2232.4976513,199000
1810,759.0,2244.6172668,200100
1820,757.0,2256.6342431,201200
1830,759.0,2268.9093917,202300
1840,759.0,2281.2219265,203400
1850,759.0,2293.3126093,204500
1860,757.0,2305.4897287,205600
1870,759.0,2317.6413421,206700
1880,757.0,2329.6086703,207800
1890,759.0,2341.7088226,208900
1900,757.0,2353.7605963,210000
1910,757.0,2366.0683755,211100
1920,759.0,2378.4115669,212200
1930,757.0,2390.5762268,213300
1940,759.0,2402.9446959,214400
1950,759.0,2414.8904124,215500
1960,759.0,2427.1515303,216600
1970,757.0,2439.4440962,217700
1980,757.0,2451.7322964,218800
1990,759.0,2464.1046826,219900
2000,761.0,2476.6777695,221000
2010,761.0,2488.8139956,222100
2020,759.0,2501.1058499,223200
2030,759.0,2513.3575866,224300
2040,759.0,2525.3446099,225400
2050,761.0,2537.6131644,226500
2060,761.0,2549.6121939,227600
2070,761.0,2561.4084235,228700
2080,761.0,2573.3940687,229800
2090,759.0,2585.6559154,230900
2100,761.0,2597.5352425,232000
2110,761.0,2609.7315673,233100
2120,761.0,2621.4116502,234200
2130,759.0,2633.3132377,235300
2140,763.0,2645.2383357,236400
2150,761.0,2657.0132208,237500
2160,761.0,2669.3856485,238600
2170,761.0,2681.25385,239700
2180,763.0,2693.1784123,240800
2190,759.0,2705.4851433,241900
2200,761.0,2717.6628806,243000
2210,761.0,2729.4669009,244100
2220,761.0,2741.503768,245200
2230,761.0,2753.6314954,246300
2240,763.0,2765.6682727,247400
2250,761.0,2777.7617451,248500
2260,759.0,2789.9843967,249600
2270,761.0,2802.1321258,250700
2280,761.0,2814.34182,251800
2290,761.0,2826.4837551,252900
2300,759.0,2838.4760658,254000
2310,761.0,2850.5141288,255100
2320,761.0,2862.3488033,256200
2330,759.0,2874.3581803,257300
2340,759.0,2886.4229621,258400
2350,763.0,2898.4971866,259500
2360,761.0,2910.6000999,260600
2370,759.0,2922.9012181,261700
2380,763.0,2934.9979213,262800
2390,763.0,2946.9679097,263900
2400,761.0,2959.0384288,265000
2410,761.0,2970.7408823,266100
2420,759.0,2982.8530094,267200
2430,761.0,2994.9501581,268300
2440,761.0,3006.9066193,269400
2450,763.0,3018.629654,270500
2460,763.0,3030.8189866,271600
2470,759.0,3042.8589729,272700
2480,761.0,3054.9044022,273800
2490,761.0,3066.9747835,274900
2500,761.0,3078.968916,276000
2510,761.0,3090.8137732,277100
2520,759.0,3102.7989966,278200
2530,761.0,3114.7857265,279300
2540,763.0,3126.8352766,280400
2550,761.0,3138.8841804,281500
2560,759.0,3150.9077854,282600
2570,761.0,3162.8557015,283700
2580,761.0,3174.7859001,284800
2590,761.0,3186.7145428,285900
2600,761.0,3198.9324842,287000
2610,759.0,3210.992814,288100
2620,759.0,3223.0952554,289200
2630,759.0,3235.016764,290300
2640,759.0,3246.9705762,291400
2650,761.0,3259.0263824,292500
2660,759.0,3270.9978989,293600
2670,761.0,3283.2033993,294700
2680,761.0,3295.487556,295800
2690,767.0,3307.6131064,296900
2700,761.0,3319.7662409,298000
2710,763.0,3331.6634558,299100
2720,761.0,3343.8941368,300200
2730,759.0,3355.9949658,301300
2740,761.0,3368.0940504,302400
2750,761.0,3379.9980568,303500
2760,761.0,3392.421235,304600
2770,759.0,3404.5185655,305700
2780,761.0,3416.6184425,306800
2790,761.0,3428.6709554,307900
2800,761.0,3440.6521676,309000
2810,761.0,3452.6457117,310100
2820,763.0,3464.6042037,311200
2830,759.0,3476.7187255,312300
2840,759.0,3488.7159472,313400
2850,763.0,3500.7768885,314500
2860,761.0,3512.8044013,315600
2870,761.0,3524.8289667,316700
2880,763.0,3536.906965,317800
2890,761.0,3549.2655499,318900
2900,761.0,3561.3357682,320000
2910,761.0,3573.5231169,321100
2920,761.0,3585.3242733,322200
2930,761.0,3597.3795303,323300
2940,761.0,3609.567895,324400
2950,761.0,3621.5376487,325500
2960,761.0,3633.6717309,326600
2970,761.0,3646.0395016,327700
2980,763.0,3658.1731491,328800
2990,763.0,3670.5337672,329900
3000,765.0,3682.8033024,331000
