iterations,fitness,time,fevals
0,530.0,0.0003657,11
10,534.0,0.000535000000001,21
20,536.0,0.000805000000001,31
30,538.0,0.0010665,41
40,542.0,0.0013671,51
50,546.0,0.001607,61
60,550.0,0.0018499,71
70,552.0,0.0020239,81
80,556.0,0.0022059,91
90,558.0,0.0025883,101
100,560.0,0.002955,111
110,560.0,0.0032255,121
120,560.0,0.0036077,131
130,560.0,0.0037747,141
140,560.0,0.004043,151
150,560.0,0.0042083,161
160,560.0,0.0043731,171
170,560.0,0.0046493,181
180,564.0,0.0050375,191
190,564.0,0.0053105,201
200,568.0,0.0055871,211
210,570.0,0.0060817,221
220,572.0,0.0063511,231
230,572.0,0.0065303,241
240,572.0,0.0067668,251
250,572.0,0.0070185,261
260,572.0,0.0072272,271
270,574.0,0.0074487,281
280,574.0,0.0076428,291
290,578.0,0.0078943,301
300,578.0,0.0081506,311
310,578.0,0.0084026,321
320,580.0,0.0085652,331
330,582.0,0.0089424,341
340,582.0,0.0091283,351
350,586.0,0.0093875,361
360,588.0,0.0096601,371
370,590.0,0.0099719,381
380,590.0,0.0103314,391
390,590.0,0.0106693,401
400,592.0,0.0109195,411
410,594.0,0.0111832,421
420,596.0,0.0113459,431
430,600.0,0.0116498,441
440,600.0,0.011818,451
450,600.0,0.0120848,461
460,604.0,0.0123695,471
470,606.0,0.0126201,481
480,608.0,0.0128729,491
490,610.0,0.013136,501
500,610.0,0.0133975,511
510,612.0,0.0137893,521
520,612.0,0.0140466,531
530,614.0,0.0143039,541
540,614.0,0.0145523,551
550,614.0,0.0148163,561
560,616.0,0.0150901,571
570,618.0,0.0153468,581
580,620.0,0.0155403,591
590,622.0,0.0157005,601
600,622.0,0.0158622,611
610,626.0,0.0162489,621
620,630.0,0.0165601,631
630,630.0,0.0167501,641
640,632.0,0.0169919,651
650,636.0,0.0173173,661
660,636.0,0.0177241,671
670,636.0,0.0180892,681
680,638.0,0.0183577,691
690,638.0,0.018607,701
700,640.0,0.0187699,711
710,640.0,0.018929,721
720,644.0,0.0191146,731
730,644.0,0.0195011,741
740,646.0,0.0196616,751
750,648.0,0.0200427,761
760,648.0,0.0203088,771
770,648.0,0.0205924,781
780,648.0,0.0209652,791
790,648.0,0.0212438,801
800,650.0,0.0215008,811
810,654.0,0.0218607,821
820,654.0,0.0220282,831
830,654.0,0.022304,841
840,656.0,0.0225547,851
850,660.0,0.0227577,861
860,660.0,0.0229374,871
870,662.0,0.0230946,881
880,666.0,0.0233728,891
890,666.0,0.0235543,901
900,668.0,0.0237984,911
910,668.0,0.0240609,921
920,668.0,0.0242207,931
930,668.0,0.0243794,941
940,668.0,0.0246697,951
950,670.0,0.0248282,961
960,674.0,0.0250822,971
970,674.0,0.0253276,981
980,674.0,0.0255984,991
990,674.0,0.0258599,1001
1000,674.0,0.0260299,1011
1010,680.0,0.0263611,1021
