iterations,fitness,time,fevals
0,499.0,0.000255199999998,11
10,501.0,0.000482099999999,21
20,509.0,0.000650299999997,31
30,515.0,0.000951999999991,41
40,519.0,0.00118599999999,51
50,523.0,0.00144679999999,61
60,527.0,0.00170869999999,71
70,529.0,0.0018679,81
80,529.0,0.0023703,91
90,531.0,0.0025715,101
100,531.0,0.0028049,111
110,531.0,0.00308130000001,121
120,531.0,0.0033593,131
130,533.0,0.00361179999999,141
140,535.0,0.00377829999999,151
150,539.0,0.00395509999999,161
160,539.0,0.00423199999999,171
170,541.0,0.0044815,181
180,545.0,0.0047329,191
190,547.0,0.0049888,201
200,553.0,0.00535989999999,211
210,553.0,0.0058137,221
220,553.0,0.0060898,231
230,557.0,0.0063547,241
240,559.0,0.0066253,251
250,563.0,0.0068848,261
260,565.0,0.00714120000001,271
270,565.0,0.0073043,281
280,565.0,0.0075489,291
290,567.0,0.0078452,301
300,569.0,0.0081195,311
310,569.0,0.0085638,321
320,569.0,0.0088258,331
330,573.0,0.0090442,341
340,575.0,0.0096091,351
350,579.0,0.0101822,361
360,581.0,0.0104602,371
370,583.0,0.0106965,381
380,583.0,0.0109342,391
390,583.0,0.0111991,401
400,583.0,0.0114814,411
410,587.0,0.0117448,421
420,589.0,0.013859,431
430,591.0,0.0140349,441
440,591.0,0.014208,451
450,591.0,0.0145773,461
460,593.0,0.0148212,471
470,597.0,0.0150565,481
480,603.0,0.0153415,491
490,605.0,0.0155105,501
500,607.0,0.0157782,511
510,609.0,0.0161835,521
520,609.0,0.0165007,531
530,613.0,0.0167992,541
540,613.0,0.0170669,551
550,617.0,0.0172451,561
560,619.0,0.0176276,571
570,621.0,0.0178199,581
580,621.0,0.0180516,591
590,625.0,0.0184016,601
600,625.0,0.0187369,611
610,625.0,0.0190059,621
620,625.0,0.019296,631
630,625.0,0.0196744,641
640,627.0,0.0199484,651
650,629.0,0.0202097,661
660,629.0,0.0206037,671
670,629.0,0.0208876,681
680,631.0,0.0211764,691
690,631.0,0.0214517,701
700,637.0,0.0217112,711
710,639.0,0.0221356,721
720,643.0,0.0223964,731
730,643.0,0.0225642,741
740,643.0,0.0228351,751
750,647.0,0.0230963,761
760,647.0,0.0232837,771
770,647.0,0.0235668,781
780,647.0,0.0238104,791
790,647.0,0.0240927,801
800,651.0,0.024355,811
810,657.0,0.0245878,821
820,657.0,0.0248529,831
830,659.0,0.0252236,841
840,661.0,0.0253894,851
850,661.0,0.0259052,861
860,661.0,0.0260678,871
870,661.0,0.0262315,881
880,661.0,0.02654,891
890,661.0,0.0271196,901
900,663.0,0.0273281,911
910,663.0,0.0274926,921
920,665.0,0.0277567,931
930,665.0,0.0279471,941
940,667.0,0.0283165,951
950,669.0,0.0286818,961
960,669.0,0.0290675,971
970,669.0,0.0292286,981
980,669.0,0.0294879,991
990,669.0,0.0297786,1001
1000,669.0,0.0299683,1011
1010,669.0,0.030346,1021
1020,671.0,0.030516,1031
1030,671.0,0.0308842,1041
1040,671.0,0.0310459,1051
1050,671.0,0.0318037,1061
1060,671.0,0.0321812,1071
1070,673.0,0.0324508,1081
1080,673.0,0.0327071,1091
1090,673.0,0.0330956,1101
1100,675.0,0.0333605,1111
1110,675.0,0.0336213,1121
1120,675.0,0.033897,1131
1130,675.0,0.0341557,1141
1140,677.0,0.0345387,1151
1150,679.0,0.0347101,1161
1160,679.0,0.0349026,1171
1170,683.0,0.0351695,1181
1180,685.0,0.0354145,1191
1190,685.0,0.0358301,1201
1200,687.0,0.0361968,1211
1210,687.0,0.0364597,1221
1220,687.0,0.036854,1231
1230,687.0,0.0370915,1241
1240,689.0,0.0372728,1251
1250,689.0,0.037566,1261
1260,689.0,0.0377416,1271
1270,689.0,0.0379307,1281
1280,689.0,0.0382163,1291
1290,691.0,0.0385882,1301
1300,695.0,0.0387516,1311
1310,697.0,0.0389778,1321
1320,699.0,0.0391435,1331
1330,699.0,0.0394095,1341
1340,701.0,0.03958,1351
1350,701.0,0.0397861,1361
1360,701.0,0.0400656,1371
1370,703.0,0.0403573,1381
1380,703.0,0.0406189,1391
1390,703.0,0.0408945,1401
1400,703.0,0.0412618,1411
1410,703.0,0.0414226,1421
1420,703.0,0.0416252,1431
1430,703.0,0.0417867,1441
1440,703.0,0.0419518,1451
1450,703.0,0.0422399,1461
1460,703.0,0.0425042,1471
1470,703.0,0.0426636,1481
1480,703.0,0.0428711,1491
1490,703.0,0.0431452,1501
1500,703.0,0.0434172,1511
1510,705.0,0.0435884,1521
1520,707.0,0.043751,1531
1530,707.0,0.0440172,1541
1540,709.0,0.0442836,1551
1550,709.0,0.0445645,1561
1560,709.0,0.0448587,1571
1570,709.0,0.0451365,1581
1580,710.0,0.0453964,1591
1590,710.0,0.0456286,1601
1600,712.0,0.0458639,1611
1610,712.0,0.0460373,1621
1620,712.0,0.0463129,1631
1630,716.0,0.046559,1641
1640,716.0,0.0468301,1651
1650,716.0,0.047085,1661
1660,716.0,0.0473742,1671
1670,716.0,0.0477484,1681
1680,716.0,0.0480748,1691
1690,718.0,0.0482793,1701
1700,720.0,0.0484484,1711
1710,722.0,0.0486087,1721
1720,722.0,0.0488292,1731
1730,724.0,0.0490938,1741
1740,724.0,0.0492735,1751
1750,724.0,0.049625,1761
