problem,algorithm,params,best fitness,best iterations,best time,best fevals
CONTPEAKS,GA,"['100', '50', '50']",99.0,4570,0.3355278,319540.0
CONTPEAKS,MIMIC,"['100', '50', '0.9']",70.0,4400,28.386181300000004,485000.0
CONTPEAKS,RHC,"[]",83.0,4910,0.022885299999999997,4921.0
CONTPEAKS,SA,"['0.35']",67.0,4850,0.015018100000000001,4861.0
FLIPFLOP,GA,"['100', '50', '50']",626.0,2500,5.084871700000001,175313.0
FLIPFLOP,MIMIC,"['100', '50', '0.9']",844.0,2950,4609.5720959,325500.0
FLIPFLOP,RHC,"[]",765.0,2890,0.0950396,2901.0
FLIPFLOP,SA,"['0.55']",799.0,2980,0.08520239999999998,2991.0
NN,Backprop,"['\\NN', 'Backpro']",0.597590361446,180,142.4172882,0
NN,GA,"['\\NN', 'GA', '50', '10', '2']",0.461956521739,170,858.5675207,0
NN,RHC,"['\\NN', 'RH']",0.139130434783,480,107.055107,0
NN,SA,"['\\NN', 'SA', '0.5']",0.284375,50,21.6195542,0
TSP,GA,"['100', '50', '50']",0.121272466425,2760,1.9605082000099998,193297.0
TSP,MIMIC,"['100', '50', '0.1']",0.0400628681109,2380,920.3508111,262800.0
TSP,RHC,"[]",0.0502099312687,2960,0.0248387000429,2971.0
TSP,SA,"['0.15']",0.057350907905699994,3000,0.0204111000057,3011.0
