k,GMM,Kmeans
2,0.7592860588519055,0.7592860588519055
3,0.7592860588519055,0.7592860588519055
4,0.7592860588519055,0.7665219488663773
5,0.7592860588519055,0.7612156295224313
6,0.7592860588519055,0.7592860588519055
7,0.7592860588519055,0.7592860588519055
8,0.7592860588519055,0.7597684515195369
9,0.7592860588519055,0.7597684515195369
10,0.7592860588519055,0.7616980221900627
15,0.7592860588519055,0.768451519536903
20,0.7602508441871684,0.7602508441871684
25,0.7636275928605886,0.7636275928605886
30,0.7732754462132175,0.7780993728895321
35,0.7636275928605886,0.7752050168837433
40,0.7689339122045344,0.7718282682103232
