k,GMM,Kmeans
2,0.046018748481665234,-0.00017565424003684725
3,0.03476696866878974,0.003568333585846905
4,0.035423437060677736,0.021133852266040608
5,0.019957591891062724,0.01751664811613476
6,0.01997289976963913,0.017919013384169267
7,0.0027391042016201806,0.02431762576496382
8,0.010308270999102623,0.013516854055433816
9,0.011181433646278646,0.01100969780242025
10,0.008927774173635869,0.026246811643614924
15,0.010095106473161447,0.014793244760479362
20,0.017606559339184123,0.014754166051971399
25,0.02455020582664292,0.008056597796412907
30,0.03444326180249415,0.030305777308691734
35,0.02471706689267733,0.02776847714741901
40,0.027923876975397617,0.023384995716325335
