k,GMM,Kmeans
2,-0.0006271464286011273,-0.0001483717017081861
3,0.001736569521599659,0.0015864873792644915
4,3.865637781179849e-06,0.004025272495837107
5,-0.0009717611121844456,0.00014918403332591808
6,-0.00018711782101705755,0.0005345796138712401
7,0.0007551243182937979,0.0038914801292507894
8,0.001139724153850823,-0.00030361287658287837
9,0.0004458497661237685,-0.00031819947975699316
10,0.0019871011844390337,0.00030350883543814485
15,0.002036639789277909,0.004163065782396175
20,0.0006327412082889472,0.0027519628711823205
25,0.0003639148476381035,0.0033523024235298403
30,0.0014508202793632112,0.0012843165043822783
35,0.0017475202361599048,0.0017475202361599048
40,0.0028895337006754965,0.0028895337006754965
