k,type,score,label
2,Kmeans,0.01449,0
2,Kmeans,0.042614,1
2,Kmeans,0.042195,0
2,Kmeans,0.02176,0
2,Kmeans,0.053894,1
2,Kmeans,0.015238,0
2,Kmeans,0.042532,0
2,Kmeans,0.003771,1
2,Kmeans,0.028748,1
2,Kmeans,0.057463,0
2,Kmeans,0.013853,0
2,Kmeans,0.01905,0
2,Kmeans,2e-06,0
2,Kmeans,0.035851,1
2,Kmeans,0.026962,1
2,Kmeans,0.024521,0
2,Kmeans,0.007118,0
2,Kmeans,0.016798,0
2,Kmeans,0.029216,1
2,Kmeans,0.043343,1
2,Kmeans,0.005069,1
2,Kmeans,0.024425,0
2,Kmeans,0.061603,1
2,Kmeans,0.015861,1
2,Kmeans,0.033939,1
2,Kmeans,0.044483,0
2,Kmeans,0.006914,0
2,Kmeans,0.026839,0
2,Kmeans,0.011072,1
2,Kmeans,0.003042,1
2,Kmeans,0.020084,1
2,Kmeans,0.049864,1
2,Kmeans,0.000997,0
2,Kmeans,0.007614,1
2,Kmeans,0.032268,0
2,Kmeans,0.042007,1
2,Kmeans,0.000167,0
2,Kmeans,0.022885,1
2,Kmeans,0.002599,0
2,Kmeans,0.009273,0
2,Kmeans,0.029764,1
2,Kmeans,0.011485,0
2,Kmeans,0.039733,0
2,Kmeans,0.008225,0
2,Kmeans,0.023757,1
2,Kmeans,0.034838,1
2,Kmeans,0.01674,1
2,Kmeans,0.035151,0
2,Kmeans,0.01853,1
2,Kmeans,0.007156,1
2,Kmeans,0.03445,1
2,Kmeans,0.030508,1
2,Kmeans,0.020462,0
2,Kmeans,0.013258,0
2,Kmeans,0.009252,1
2,Kmeans,0.015638,1
2,Kmeans,0.02049,0
2,Kmeans,0.012901,0
2,Kmeans,0.011154,1
2,Kmeans,0.019592,0
2,Kmeans,0.020685,0
2,Kmeans,0.03898,1
2,Kmeans,0.007855,1
2,Kmeans,0.021639,0
2,Kmeans,0.047464,0
2,Kmeans,0.002598,1
2,Kmeans,0.006657,1
2,Kmeans,0.018092,1
2,Kmeans,0.056566,1
2,Kmeans,0.030685,1
2,Kmeans,0.013947,1
2,Kmeans,0.048262,1
2,Kmeans,0.033385,1
2,Kmeans,0.038033,0
2,Kmeans,0.008535,0
