k,GMM,Kmeans
2,0.09750577949284396,0.12877720013301533
3,0.06369016330478411,0.10301148906218022
4,0.056823265672833474,0.06463623084472975
5,0.05515415450403761,0.05407479004679647
6,0.05751350031682871,0.057905663679864335
7,0.040867246572763846,0.05622114665887234
8,0.05324346123622596,0.07156664734089661
9,0.042267015462685215,0.04436887325304219
10,0.04072136315084518,0.05263595335775414
15,0.04415696234340819,0.051474702482602976
20,0.04684074182239153,0.052531790981246995
25,0.04241727021967153,0.04854007282339443
30,0.0442803315762795,0.043731135937227744
35,0.04107730476009391,0.043896738455722596
40,0.04083467583363099,0.04412456580995717
