k,GMM,Kmeans
2,0.7592860588519055,0.7592860588519055
3,0.7592860588519055,0.7655571635311144
4,0.7814761215629522,0.7689339122045344
5,0.7616980221900627,0.7655571635311144
6,0.7616980221900627,0.7689339122045344
7,0.773757838880849,0.7689339122045344
8,0.7829232995658466,0.7901591895803184
9,0.7771345875542692,0.7901591895803184
10,0.7780993728895321,0.7901591895803184
15,0.814278822961891,0.8277858176555717
20,0.8219971056439942,0.8055957549445248
25,0.814278822961891,0.8195851423058369
30,0.8215147129763628,0.8229618909792571
35,0.8268210323203087,0.8244090689821515
40,0.818620356970574,0.8258562469850458
