k,GMM,Kmeans
2,0.7592860588519055,0.7592860588519055
3,0.7592860588519055,0.7592860588519055
4,0.7592860588519055,0.7607332368547998
5,0.7592860588519055,0.7607332368547998
6,0.7592860588519055,0.7607332368547998
7,0.7592860588519055,0.7607332368547998
8,0.7592860588519055,0.7607332368547998
9,0.7592860588519055,0.7607332368547998
10,0.7592860588519055,0.7592860588519055
15,0.7621804148576942,0.7645923781958515
20,0.7626628075253257,0.7723106608779546
25,0.7616980221900627,0.76410998552822
30,0.768451519536903,0.7795465508924264
35,0.7665219488663773,0.783405692233478
40,0.7592860588519055,0.7809937288953208
