k,type,score,label
2,Kmeans,0.387985,0
2,Kmeans,0.756818,0
2,Kmeans,0.576163,0
2,Kmeans,0.662408,0
2,Kmeans,0.697116,0
2,Kmeans,0.645282,0
2,Kmeans,0.738677,0
2,Kmeans,0.70063,0
2,Kmeans,0.730826,0
2,Kmeans,0.577086,0
2,Kmeans,0.72117,0
2,Kmeans,0.708649,0
2,Kmeans,0.750968,0
2,Kmeans,0.715094,0
2,Kmeans,0.7026,0
2,Kmeans,0.734139,0
2,Kmeans,0.693456,0
2,Kmeans,0.160354,0
2,Kmeans,0.674157,0
2,Kmeans,0.733865,0
2,Kmeans,0.751646,0
2,Kmeans,0.728097,0
2,Kmeans,0.76304,0
2,Kmeans,0.75487,0
2,Kmeans,0.685405,0
2,Kmeans,0.595305,0
2,Kmeans,0.746571,0
2,Kmeans,0.668187,0
2,Kmeans,0.700783,0
2,Kmeans,0.710597,0
2,Kmeans,0.699524,0
2,Kmeans,0.756614,0
2,Kmeans,0.744277,0
2,Kmeans,0.351799,0
2,Kmeans,0.525278,0
2,Kmeans,0.737868,0
2,Kmeans,0.710125,0
2,Kmeans,0.693645,0
2,Kmeans,0.7384,0
2,Kmeans,0.642556,0
2,Kmeans,0.185591,0
2,Kmeans,0.750757,0
2,Kmeans,0.247267,0
2,Kmeans,0.714638,0
2,Kmeans,0.755878,0
2,Kmeans,0.748429,0
2,Kmeans,0.70863,0
2,Kmeans,0.678403,0
2,Kmeans,0.682749,0
2,Kmeans,0.749089,0
2,Kmeans,0.704614,0
2,Kmeans,0.714824,0
2,Kmeans,0.703938,0
2,Kmeans,0.752872,0
2,Kmeans,0.709938,0
2,Kmeans,0.750635,0
2,Kmeans,0.713912,0
2,Kmeans,0.694562,0
2,Kmeans,0.630776,0
2,Kmeans,0.729923,0
2,Kmeans,0.751696,0
2,Kmeans,0.678633,0
2,Kmeans,0.637331,0
2,Kmeans,0.638603,0
2,Kmeans,0.753444,0
2,Kmeans,0.761386,0
2,Kmeans,0.761112,0
2,Kmeans,0.699983,0
2,Kmeans,0.752738,0
2,Kmeans,0.735248,0
2,Kmeans,0.717747,0
2,Kmeans,0.72755,0
2,Kmeans,0.711951,0
2,Kmeans,0.762102,0
2,Kmeans,0.677346,0
2,Kmeans,0.753949,0
2,Kmeans,0.749966,0
2,Kmeans,0.727687,0
2,Kmeans,0.702583,0
2,Kmeans,0.722484,0
2,Kmeans,0.729986,0
2,Kmeans,0.696729,0
2,Kmeans,0.724274,0
2,Kmeans,0.702708,0
2,Kmeans,0.746192,0
2,Kmeans,0.730444,0
2,Kmeans,0.751083,0
2,Kmeans,0.621878,0
2,Kmeans,0.757984,0
2,Kmeans,0.287981,0
2,Kmeans,0.72008,0
2,Kmeans,0.689432,0
2,Kmeans,0.753266,0
2,Kmeans,0.626264,0
2,Kmeans,0.751411,0
2,Kmeans,0.751791,0
2,Kmeans,0.714618,0
2,Kmeans,0.75566,0
2,Kmeans,0.727833,0
2,Kmeans,0.706615,0
2,Kmeans,0.70776,0
2,Kmeans,0.757956,0
2,Kmeans,0.65015,0
2,Kmeans,0.743036,0
2,Kmeans,0.754783,0
2,Kmeans,0.686575,0
2,Kmeans,0.734467,0
2,Kmeans,0.736111,0
2,Kmeans,0.680977,0
2,Kmeans,0.758907,0
2,Kmeans,0.702363,0
2,Kmeans,0.622973,0
2,Kmeans,0.688282,0
2,Kmeans,0.486051,0
2,Kmeans,0.725898,0
2,Kmeans,0.696354,0
2,Kmeans,0.746573,0
2,Kmeans,0.756885,0
2,Kmeans,0.688332,0
2,Kmeans,0.758975,0
2,Kmeans,0.669505,0
2,Kmeans,0.752669,0
2,Kmeans,0.744132,0
2,Kmeans,0.708581,0
2,Kmeans,0.710608,0
2,Kmeans,0.754505,0
2,Kmeans,0.753496,0
2,Kmeans,0.753683,0
2,Kmeans,0.68888,0
2,Kmeans,0.471632,0
2,Kmeans,0.681716,0
2,Kmeans,0.707544,0
2,Kmeans,0.725869,0
2,Kmeans,0.73614,0
2,Kmeans,0.674677,0
2,Kmeans,0.584222,0
2,Kmeans,0.670824,0
