k,GMM,Kmeans
2,0.11314159087322825,0.6925378650994605
3,-0.021180317554106088,0.18017516423493696
4,-0.022680768048178302,0.44996854960684785
5,-0.02025049652956317,0.05649156377890988
6,-0.014723117942277578,0.0859631434733355
7,-0.014418184303193882,0.023561392253794416
8,-0.01698866504986654,0.034557527199678646
9,0.008087887162669323,0.0575690102440839
10,-0.009898792053960489,0.06858800219035112
15,0.026187635216879158,0.022161762013124472
20,0.030094037396822645,0.06152351635729056
25,0.04060356282181685,0.07075411522115244
30,0.05615284537687879,0.08365785614075681
35,0.05302664751857389,0.08197542789437641
40,0.08932871887862774,0.07086941582235975
