k,GMM,Kmeans
2,0.5061224489795918,0.5153061224489796
3,0.5204081632653061,0.5244897959183673
4,0.5224489795918368,0.5224489795918368
5,0.5224489795918368,0.55
6,0.5336734693877551,0.5438775510204081
7,0.5540816326530612,0.5336734693877551
8,0.5326530612244897,0.5540816326530612
9,0.5377551020408163,0.5540816326530612
10,0.536734693877551,0.5561224489795918
15,0.563265306122449,0.536734693877551
20,0.5540816326530612,0.5510204081632653
25,0.573469387755102,0.573469387755102
30,0.5724489795918367,0.5744897959183674
35,0.5724489795918367,0.5724489795918367
40,0.5867346938775511,0.5877551020408164
