k,GMM,Kmeans
2,0.010173993675352891,0.012366521314306569
3,0.01012191653193886,0.012519791008602765
4,0.010705253876116627,0.010910759939531806
5,0.010305220879564213,0.011747177506900268
6,0.011483625531364977,0.011712788209390718
7,0.010529041874381842,0.013080137911234397
8,0.011300564168455207,0.011796383238930005
9,0.01154753086846103,0.011453043538578643
10,0.012161129870372942,0.012113703325048422
15,0.011003273901314847,0.011491521254507817
20,0.004257116284884922,0.010436113470510228
25,0.009534161389732936,0.011723895111767909
30,0.0072515972077186,0.008134078580589588
35,0.0035962124945642785,0.0035962124945642785
40,-0.0017893009278230096,0.0034145452990601757
