k,type,score,label
2,Kmeans,0.167588,0
2,Kmeans,0.339799,0
2,Kmeans,0.23898,1
2,Kmeans,0.26821,0
2,Kmeans,0.160166,1
2,Kmeans,0.355334,0
2,Kmeans,0.100853,1
2,Kmeans,0.124224,1
2,Kmeans,-0.02628,1
2,Kmeans,0.198543,0
2,Kmeans,0.08845,1
2,Kmeans,0.125103,1
2,Kmeans,0.240189,1
2,Kmeans,0.060377,1
2,Kmeans,0.298307,0
2,Kmeans,0.396927,0
2,Kmeans,0.206375,1
2,Kmeans,0.085069,1
2,Kmeans,0.224917,1
2,Kmeans,0.412887,0
2,Kmeans,0.335766,0
2,Kmeans,-0.006731,1
2,Kmeans,0.365005,0
2,Kmeans,0.227989,1
2,Kmeans,0.121315,1
2,Kmeans,0.163071,0
2,Kmeans,0.176651,1
2,Kmeans,0.107108,1
2,Kmeans,0.258631,0
2,Kmeans,0.017069,1
2,Kmeans,0.173964,1
2,Kmeans,0.059131,1
2,Kmeans,0.211569,1
2,Kmeans,0.269395,0
2,Kmeans,-0.02325,1
2,Kmeans,0.359411,0
2,Kmeans,-0.034154,1
2,Kmeans,0.078801,1
2,Kmeans,0.27365,0
2,Kmeans,0.22114,0
2,Kmeans,0.059545,1
2,Kmeans,0.369791,0
2,Kmeans,0.007261,1
2,Kmeans,0.059319,1
2,Kmeans,0.411315,0
2,Kmeans,0.227953,1
2,Kmeans,0.235716,0
2,Kmeans,0.124749,1
2,Kmeans,0.024111,1
2,Kmeans,0.384347,0
2,Kmeans,0.256866,1
2,Kmeans,0.352554,0
2,Kmeans,-0.041776,1
2,Kmeans,0.385262,0
2,Kmeans,0.012338,1
2,Kmeans,0.384189,0
2,Kmeans,0.366805,0
2,Kmeans,-0.031207,1
2,Kmeans,0.308843,0
2,Kmeans,0.112823,1
2,Kmeans,0.141946,1
2,Kmeans,0.12344,1
2,Kmeans,0.104229,1
2,Kmeans,0.152573,1
2,Kmeans,0.372881,0
2,Kmeans,0.391563,0
2,Kmeans,0.399483,0
2,Kmeans,0.20501,1
2,Kmeans,0.370803,0
2,Kmeans,0.338584,0
2,Kmeans,0.392991,0
2,Kmeans,0.208452,1
2,Kmeans,0.19311,1
2,Kmeans,0.397146,0
2,Kmeans,-0.001287,1
2,Kmeans,0.272659,1
2,Kmeans,0.151864,1
2,Kmeans,0.002683,1
2,Kmeans,0.15875,0
2,Kmeans,-0.076409,1
2,Kmeans,0.003444,1
2,Kmeans,0.232091,1
2,Kmeans,0.127602,1
2,Kmeans,0.294555,0
2,Kmeans,0.061237,1
2,Kmeans,0.065135,1
2,Kmeans,0.272485,1
2,Kmeans,0.276023,0
2,Kmeans,0.333044,0
2,Kmeans,0.069074,1
2,Kmeans,0.104167,1
2,Kmeans,0.071661,1
2,Kmeans,0.357783,0
2,Kmeans,-0.01192,1
2,Kmeans,0.225388,1
2,Kmeans,0.31719,0
2,Kmeans,0.309337,0
2,Kmeans,0.15331,1
2,Kmeans,0.340017,0
2,Kmeans,0.218092,1
2,Kmeans,0.193691,1
2,Kmeans,0.085323,1
2,Kmeans,0.033626,1
2,Kmeans,0.051787,1
2,Kmeans,0.241022,1
2,Kmeans,0.127318,0
2,Kmeans,0.241625,0
2,Kmeans,0.378678,0
2,Kmeans,0.118634,1
2,Kmeans,0.361189,0
2,Kmeans,0.253692,0
2,Kmeans,0.250374,0
2,Kmeans,0.375006,0
2,Kmeans,0.130543,1
2,Kmeans,0.192229,0
2,Kmeans,0.045857,1
2,Kmeans,0.376154,0
2,Kmeans,0.379475,0
2,Kmeans,0.213482,1
2,Kmeans,0.368578,0
2,Kmeans,0.023352,1
2,Kmeans,0.058044,1
2,Kmeans,0.324074,0
2,Kmeans,0.359712,0
2,Kmeans,-0.028706,1
2,Kmeans,0.402703,0
2,Kmeans,0.124388,1
2,Kmeans,0.177155,1
2,Kmeans,0.114808,1
2,Kmeans,0.016963,1
2,Kmeans,0.341881,0
2,Kmeans,0.401875,0
2,Kmeans,0.16424,1
2,Kmeans,0.407638,0
2,Kmeans,0.210369,0
2,Kmeans,0.26122,0
2,Kmeans,0.056847,1
2,Kmeans,0.257227,1
2,Kmeans,0.059933,1
2,Kmeans,0.022276,1
2,Kmeans,0.318301,0
2,Kmeans,0.272813,0
2,Kmeans,0.356748,0
2,Kmeans,0.295166,0
2,Kmeans,0.063082,1
2,Kmeans,0.090176,1
2,Kmeans,0.255973,0
2,Kmeans,0.242513,1
2,Kmeans,0.369377,0
2,Kmeans,0.270969,1
2,Kmeans,0.085917,1
2,Kmeans,0.04179,1
2,Kmeans,0.065793,1
2,Kmeans,0.276199,0
2,Kmeans,0.083973,1
2,Kmeans,0.32629,0
2,Kmeans,0.164185,0
2,Kmeans,0.277533,0
2,Kmeans,0.032591,1
2,Kmeans,0.323698,0
2,Kmeans,0.146936,1
2,Kmeans,0.331633,0
2,Kmeans,0.25541,0
2,Kmeans,0.110279,1
2,Kmeans,0.304706,0
2,Kmeans,0.359971,0
2,Kmeans,0.155634,1
2,Kmeans,-0.005399,1
2,Kmeans,0.3667,0
2,Kmeans,0.113574,1
2,Kmeans,0.185985,1
2,Kmeans,0.262421,0
2,Kmeans,0.147364,1
2,Kmeans,0.227164,0
2,Kmeans,0.118709,1
2,Kmeans,0.321214,0
2,Kmeans,0.229586,0
2,Kmeans,-0.023304,1
2,Kmeans,0.188648,0
2,Kmeans,0.343177,0
2,Kmeans,0.390645,0
2,Kmeans,0.155582,1
2,Kmeans,0.394848,0
2,Kmeans,0.350132,0
2,Kmeans,0.299623,0
2,Kmeans,0.216509,1
2,Kmeans,0.026679,1
2,Kmeans,0.052337,1
2,Kmeans,-0.074683,1
2,Kmeans,0.206452,1
2,Kmeans,0.168843,1
2,Kmeans,0.247767,1
2,Kmeans,0.025461,1
2,Kmeans,0.385421,0
2,Kmeans,0.126225,1
2,Kmeans,0.171982,1
2,Kmeans,0.36335,0
2,Kmeans,0.147441,1
2,Kmeans,0.230323,1
2,Kmeans,0.392581,0
2,Kmeans,0.368733,0
2,Kmeans,0.205276,1
2,Kmeans,0.386693,0
2,Kmeans,0.149857,1
2,Kmeans,0.376546,0
2,Kmeans,0.419451,0
2,Kmeans,0.341979,0
2,Kmeans,0.368677,0
2,Kmeans,0.08697,1
2,Kmeans,0.365761,0
2,Kmeans,0.31453,0
2,Kmeans,0.163347,1
2,Kmeans,0.22894,0
2,Kmeans,0.174805,1
2,Kmeans,0.388041,0
2,Kmeans,-0.024678,1
2,Kmeans,0.029186,1
2,Kmeans,0.083341,1
2,Kmeans,0.224936,1
2,Kmeans,0.345214,0
2,Kmeans,0.113694,1
2,Kmeans,0.08058,1
2,Kmeans,0.297798,0
2,Kmeans,0.056525,1
2,Kmeans,-0.007476,1
2,Kmeans,0.178353,1
2,Kmeans,0.333652,0
2,Kmeans,0.049613,1
2,Kmeans,0.137047,1
2,Kmeans,0.092395,1
2,Kmeans,0.384659,0
2,Kmeans,0.237904,0
2,Kmeans,0.288633,0
2,Kmeans,0.146309,1
2,Kmeans,0.242379,1
2,Kmeans,0.395215,0
2,Kmeans,0.052971,1
2,Kmeans,0.060832,0
2,Kmeans,0.229563,0
2,Kmeans,0.021305,1
2,Kmeans,0.114939,1
2,Kmeans,0.368239,0
2,Kmeans,0.031908,1
2,Kmeans,0.425533,0
2,Kmeans,0.055844,1
2,Kmeans,0.006508,1
2,Kmeans,0.395319,0
2,Kmeans,0.174141,1
2,Kmeans,0.144092,1
2,Kmeans,-0.008868,1
2,Kmeans,-0.009744,1
2,Kmeans,0.044014,1
2,Kmeans,0.051545,1
2,Kmeans,0.025771,1
2,Kmeans,0.031627,1
2,Kmeans,0.075086,1
2,Kmeans,0.324532,0
2,Kmeans,0.067825,0
2,Kmeans,0.362393,0
2,Kmeans,0.069099,1
2,Kmeans,0.361251,0
2,Kmeans,0.334001,0
2,Kmeans,0.095399,0
2,Kmeans,0.209103,1
2,Kmeans,0.328432,0
2,Kmeans,0.049501,1
2,Kmeans,0.016875,1
2,Kmeans,0.106666,1
2,Kmeans,0.345211,0
2,Kmeans,0.307571,0
2,Kmeans,-0.017671,1
2,Kmeans,0.020773,1
2,Kmeans,0.022299,1
2,Kmeans,-0.012681,1
2,Kmeans,0.195456,1
2,Kmeans,0.265743,0
2,Kmeans,0.080187,1
2,Kmeans,0.040903,1
2,Kmeans,0.230342,1
2,Kmeans,0.246347,1
2,Kmeans,0.014494,1
2,Kmeans,0.078916,1
2,Kmeans,-0.049003,1
2,Kmeans,0.319875,0
2,Kmeans,0.010638,1
2,Kmeans,-0.001817,1
2,Kmeans,0.207042,1
2,Kmeans,0.045377,1
2,Kmeans,0.181006,0
2,Kmeans,0.328579,0
2,Kmeans,0.359389,0
2,Kmeans,0.046569,1
2,Kmeans,0.169462,1
2,Kmeans,0.183014,1
2,Kmeans,0.198806,1
2,Kmeans,-0.043423,1
2,Kmeans,0.304252,0
2,Kmeans,0.220417,1
2,Kmeans,0.187685,1
2,Kmeans,0.243919,1
2,Kmeans,0.394803,0
2,Kmeans,0.047775,1
2,Kmeans,0.33536,0
2,Kmeans,0.059046,1
2,Kmeans,0.252476,0
2,Kmeans,0.332189,0
2,Kmeans,0.023247,1
2,Kmeans,0.149287,0
2,Kmeans,0.057815,0
2,Kmeans,0.344236,0
2,Kmeans,0.412125,0
2,Kmeans,0.271084,1
2,Kmeans,0.040675,1
2,Kmeans,0.187497,0
2,Kmeans,0.404424,0
2,Kmeans,0.085452,1
2,Kmeans,0.11753,1
2,Kmeans,0.267193,1
2,Kmeans,0.094571,0
2,Kmeans,0.360639,0
2,Kmeans,0.247102,0
2,Kmeans,0.424466,0
2,Kmeans,0.070813,1
2,Kmeans,0.351026,0
2,Kmeans,0.093591,0
2,Kmeans,0.35553,0
2,Kmeans,0.064517,1
2,Kmeans,0.148844,0
2,Kmeans,0.090963,1
2,Kmeans,0.105882,1
2,Kmeans,0.060276,1
2,Kmeans,0.410411,0
2,Kmeans,-0.004533,1
2,Kmeans,0.362771,0
2,Kmeans,0.206941,1
2,Kmeans,0.098323,0
2,Kmeans,0.151493,1
2,Kmeans,0.197397,0
2,Kmeans,0.398862,0
2,Kmeans,0.085396,0
2,Kmeans,0.394115,0
2,Kmeans,0.17521,1
2,Kmeans,0.183995,1
2,Kmeans,0.283124,0
2,Kmeans,0.264198,1
2,Kmeans,0.160462,1
2,Kmeans,0.06577,1
2,Kmeans,0.310217,0
2,Kmeans,0.348405,0
2,Kmeans,0.072537,1
2,Kmeans,0.210431,1
2,Kmeans,0.191589,1
2,Kmeans,0.194806,1
2,Kmeans,0.33366,0
2,Kmeans,0.148815,1
2,Kmeans,0.234266,1
2,Kmeans,0.236979,1
2,Kmeans,0.347674,0
2,Kmeans,0.366815,0
2,Kmeans,0.072069,1
2,Kmeans,0.212711,1
2,Kmeans,0.073927,1
2,Kmeans,0.316414,0
2,Kmeans,0.095981,1
2,Kmeans,0.163442,1
2,Kmeans,0.165552,1
2,Kmeans,0.10275,0
2,Kmeans,-0.036588,1
2,Kmeans,0.263894,1
2,Kmeans,0.114424,1
2,Kmeans,0.156586,1
2,Kmeans,0.394737,0
2,Kmeans,0.166709,1
2,Kmeans,0.098091,0
2,Kmeans,0.197314,1
2,Kmeans,0.360492,0
2,Kmeans,0.118089,1
2,Kmeans,0.127798,1
2,Kmeans,0.396957,0
2,Kmeans,0.136058,0
2,Kmeans,0.245997,0
2,Kmeans,0.167319,1
2,Kmeans,0.382697,0
2,Kmeans,0.037955,1
2,Kmeans,0.126835,1
2,Kmeans,0.181991,1
2,Kmeans,0.323146,0
2,Kmeans,-0.015801,1
2,Kmeans,0.375403,0
2,Kmeans,0.359759,0
2,Kmeans,-0.018859,1
2,Kmeans,0.417191,0
2,Kmeans,0.123261,1
2,Kmeans,0.113363,1
2,Kmeans,-0.002881,1
2,Kmeans,0.186178,1
2,Kmeans,0.079203,1
2,Kmeans,0.341091,0
2,Kmeans,0.354512,0
2,Kmeans,0.237642,0
2,Kmeans,0.356061,0
2,Kmeans,0.015711,1
2,Kmeans,0.394039,0
2,Kmeans,0.168779,1
2,Kmeans,0.39496,0
2,Kmeans,0.380063,0
2,Kmeans,0.365925,0
2,Kmeans,0.02907,1
2,Kmeans,0.234894,1
2,Kmeans,0.383063,0
2,Kmeans,0.195059,1
2,Kmeans,0.051153,1
2,Kmeans,0.072114,1
2,Kmeans,0.114906,1
2,Kmeans,0.261287,1
2,Kmeans,0.349859,0
2,Kmeans,0.175668,1
2,Kmeans,0.392169,0
2,Kmeans,0.39701,0
2,Kmeans,0.239123,1
2,Kmeans,0.037338,1
2,Kmeans,0.235291,1
2,Kmeans,0.148574,1
2,Kmeans,0.10703,0
2,Kmeans,0.406078,0
2,Kmeans,0.35716,0
2,Kmeans,0.220397,1
2,Kmeans,0.129519,0
2,Kmeans,0.386995,0
2,Kmeans,0.233154,1
2,Kmeans,0.36307,0
2,Kmeans,0.340367,0
2,Kmeans,0.295909,0
2,Kmeans,0.086539,1
2,Kmeans,0.046185,1
2,Kmeans,-0.052641,1
2,Kmeans,0.099708,1
2,Kmeans,0.140717,1
2,Kmeans,0.377462,0
2,Kmeans,0.224314,1
2,Kmeans,0.271846,1
2,Kmeans,0.372947,0
2,Kmeans,0.170228,1
2,Kmeans,0.298869,0
2,Kmeans,0.175067,1
2,Kmeans,-0.009143,1
2,Kmeans,0.094643,1
2,Kmeans,0.384788,0
2,Kmeans,0.061217,1
2,Kmeans,0.270718,0
2,Kmeans,0.40769,0
2,Kmeans,0.291142,0
2,Kmeans,0.202441,1
2,Kmeans,0.187503,1
2,Kmeans,0.183456,1
2,Kmeans,0.048212,1
2,Kmeans,0.061166,1
