k,GMM,Kmeans
2,0.6081632653061224,0.5938775510204082
3,0.5724489795918367,0.6081632653061224
4,0.5591836734693878,0.5826530612244898
5,0.523469387755102,0.5816326530612245
6,0.5591836734693878,0.5683673469387756
7,0.5510204081632653,0.5928571428571429
8,0.563265306122449,0.6224489795918368
9,0.5908163265306122,0.6602040816326531
10,0.5908163265306122,0.6653061224489796
15,0.6540816326530612,0.6785714285714286
20,0.6520408163265307,0.6489795918367347
25,0.6826530612244898,0.6969387755102041
30,0.6673469387755102,0.6887755102040817
35,0.6846938775510204,0.6806122448979591
40,0.6918367346938775,0.6826530612244898
