k,type,score,label
2,Kmeans,0.018612,1
2,Kmeans,0.038817,0
2,Kmeans,0.22542,0
2,Kmeans,0.021232,0
2,Kmeans,0.194939,1
2,Kmeans,0.040479,1
2,Kmeans,0.133397,0
2,Kmeans,0.229788,0
2,Kmeans,0.049838,1
2,Kmeans,0.250418,0
2,Kmeans,0.019734,0
2,Kmeans,0.027833,1
2,Kmeans,0.098544,1
2,Kmeans,0.045138,1
2,Kmeans,0.098513,1
2,Kmeans,0.230742,1
2,Kmeans,0.116884,0
2,Kmeans,0.053473,0
2,Kmeans,0.006177,1
2,Kmeans,0.030132,1
2,Kmeans,0.097932,0
2,Kmeans,0.14947,1
2,Kmeans,0.064984,1
2,Kmeans,0.243155,1
2,Kmeans,0.031818,1
2,Kmeans,0.03691,0
2,Kmeans,0.224896,0
2,Kmeans,0.216214,0
2,Kmeans,0.085089,0
2,Kmeans,0.094214,1
2,Kmeans,0.161001,1
2,Kmeans,0.031187,1
2,Kmeans,0.227611,0
2,Kmeans,0.174135,1
2,Kmeans,0.048572,1
2,Kmeans,0.113441,1
2,Kmeans,0.011122,1
2,Kmeans,0.043381,1
2,Kmeans,0.092833,1
2,Kmeans,0.03741,0
2,Kmeans,0.084019,1
2,Kmeans,0.076157,1
2,Kmeans,0.123873,0
2,Kmeans,0.044282,0
2,Kmeans,0.061061,0
2,Kmeans,0.138627,0
2,Kmeans,0.12223,0
2,Kmeans,0.018112,1
2,Kmeans,0.088788,1
2,Kmeans,0.078212,0
2,Kmeans,0.091402,0
2,Kmeans,0.013716,0
2,Kmeans,0.198643,1
2,Kmeans,0.179912,1
2,Kmeans,0.081107,1
2,Kmeans,0.162236,1
2,Kmeans,0.225116,0
2,Kmeans,0.067143,1
2,Kmeans,0.091966,0
2,Kmeans,0.024411,1
2,Kmeans,0.059543,0
2,Kmeans,0.043716,0
2,Kmeans,0.224946,1
2,Kmeans,0.191555,0
2,Kmeans,0.155758,0
2,Kmeans,0.079879,0
2,Kmeans,0.186131,0
2,Kmeans,0.068009,1
2,Kmeans,0.139232,0
2,Kmeans,-0.003479,1
2,Kmeans,0.24442,1
2,Kmeans,0.188637,1
2,Kmeans,0.060149,1
2,Kmeans,0.237014,0
2,Kmeans,0.056933,0
2,Kmeans,0.22813,1
2,Kmeans,0.108703,0
2,Kmeans,0.133513,1
2,Kmeans,0.042783,0
2,Kmeans,0.131198,0
2,Kmeans,0.160165,1
2,Kmeans,0.063306,0
2,Kmeans,0.178213,1
2,Kmeans,0.107185,0
2,Kmeans,0.160179,0
2,Kmeans,0.062512,1
2,Kmeans,0.173783,1
2,Kmeans,0.169211,1
2,Kmeans,0.065407,1
2,Kmeans,0.137519,0
2,Kmeans,0.066503,1
2,Kmeans,0.121795,0
2,Kmeans,0.152091,0
2,Kmeans,0.196888,0
2,Kmeans,0.159043,0
2,Kmeans,0.052811,0
2,Kmeans,-0.007228,1
2,Kmeans,0.044906,0
2,Kmeans,0.178717,1
2,Kmeans,0.132514,1
2,Kmeans,0.193599,0
2,Kmeans,0.066825,0
2,Kmeans,0.148465,0
2,Kmeans,0.09463,1
2,Kmeans,0.013209,0
2,Kmeans,0.100068,1
2,Kmeans,0.033576,0
2,Kmeans,0.099131,0
2,Kmeans,0.135573,1
2,Kmeans,0.214616,0
2,Kmeans,0.131174,1
2,Kmeans,0.03307,1
2,Kmeans,0.047683,0
2,Kmeans,0.023488,1
2,Kmeans,0.049382,1
2,Kmeans,0.14841,0
2,Kmeans,0.161351,0
2,Kmeans,0.055923,1
2,Kmeans,0.08305,1
2,Kmeans,0.121493,0
2,Kmeans,0.028643,0
2,Kmeans,0.205825,1
2,Kmeans,0.013334,1
2,Kmeans,0.01059,1
2,Kmeans,0.133219,1
2,Kmeans,0.048234,0
2,Kmeans,0.025952,1
2,Kmeans,0.104536,1
2,Kmeans,0.192387,0
2,Kmeans,0.036954,0
2,Kmeans,0.151491,0
2,Kmeans,0.120562,0
2,Kmeans,0.00902,1
2,Kmeans,0.119812,0
2,Kmeans,0.091285,1
2,Kmeans,0.159702,0
2,Kmeans,0.107337,0
2,Kmeans,0.115465,1
2,Kmeans,0.238278,1
2,Kmeans,0.1655,0
2,Kmeans,0.088575,1
2,Kmeans,0.013589,0
2,Kmeans,0.022377,0
2,Kmeans,0.176015,0
2,Kmeans,0.076087,0
2,Kmeans,0.106243,0
2,Kmeans,0.089299,1
2,Kmeans,0.095675,1
2,Kmeans,0.151832,1
2,Kmeans,0.043973,1
2,Kmeans,0.110024,1
2,Kmeans,0.01573,1
2,Kmeans,0.166567,0
2,Kmeans,0.138598,1
2,Kmeans,0.026317,0
2,Kmeans,0.178788,1
2,Kmeans,0.163798,1
2,Kmeans,0.232937,0
2,Kmeans,0.089266,1
2,Kmeans,-0.003664,1
2,Kmeans,0.181592,1
2,Kmeans,0.050738,0
2,Kmeans,0.059903,0
2,Kmeans,0.124913,1
2,Kmeans,0.157577,0
2,Kmeans,0.072171,0
2,Kmeans,0.180446,1
2,Kmeans,0.145903,1
2,Kmeans,0.137613,0
2,Kmeans,0.095622,0
2,Kmeans,0.093569,1
2,Kmeans,0.121038,0
2,Kmeans,-0.006046,1
2,Kmeans,0.15163,1
2,Kmeans,0.051842,1
2,Kmeans,0.032922,1
2,Kmeans,0.035729,1
2,Kmeans,0.060145,1
2,Kmeans,0.14216,0
2,Kmeans,0.060545,0
2,Kmeans,0.145813,0
2,Kmeans,0.176708,1
2,Kmeans,0.237403,0
2,Kmeans,0.136746,0
2,Kmeans,0.035232,1
2,Kmeans,0.118798,0
2,Kmeans,0.064832,1
2,Kmeans,0.184183,0
2,Kmeans,0.171437,0
2,Kmeans,0.217349,0
2,Kmeans,0.228117,0
2,Kmeans,0.151616,0
2,Kmeans,0.005023,1
2,Kmeans,0.229843,0
2,Kmeans,0.036138,0
2,Kmeans,0.020963,0
2,Kmeans,0.077188,1
2,Kmeans,0.040775,1
2,Kmeans,0.091474,0
2,Kmeans,0.083968,1
2,Kmeans,0.098585,0
2,Kmeans,0.169477,1
2,Kmeans,0.009986,0
2,Kmeans,0.192434,0
2,Kmeans,0.072155,1
2,Kmeans,0.028478,0
2,Kmeans,0.176474,0
2,Kmeans,0.071458,0
2,Kmeans,0.113136,1
2,Kmeans,0.074477,0
2,Kmeans,0.106945,0
2,Kmeans,0.06947,1
2,Kmeans,0.046934,1
2,Kmeans,0.070803,0
2,Kmeans,0.010559,0
2,Kmeans,0.11781,0
2,Kmeans,0.092577,1
2,Kmeans,0.077679,1
2,Kmeans,0.046718,0
2,Kmeans,0.035421,1
2,Kmeans,0.079926,1
2,Kmeans,0.029229,1
2,Kmeans,0.043949,1
2,Kmeans,0.200058,1
2,Kmeans,0.088845,0
2,Kmeans,0.189991,0
2,Kmeans,0.126605,0
2,Kmeans,0.181132,0
2,Kmeans,0.064485,1
2,Kmeans,0.160983,0
2,Kmeans,0.085909,0
2,Kmeans,0.106955,1
2,Kmeans,0.226172,0
2,Kmeans,0.075717,1
2,Kmeans,0.190206,1
2,Kmeans,0.133765,1
2,Kmeans,0.01023,1
2,Kmeans,0.239744,0
2,Kmeans,0.158796,0
2,Kmeans,0.169999,1
2,Kmeans,0.140933,1
2,Kmeans,0.111292,1
2,Kmeans,0.153587,1
2,Kmeans,0.060046,0
2,Kmeans,0.076702,1
