k,GMM,Kmeans
2,0.14511381612709792,0.1464448058112567
3,0.10637376934671987,0.15274562055971724
4,0.08741196955474337,0.12784801952111133
5,0.07518902881846432,0.07891019237230983
6,0.07103694249580815,0.07449503329451819
7,0.07562902084218427,0.06574939051755914
8,0.07266799793402327,0.07199022245809183
9,0.07709803566805798,0.066420623214341
10,0.07674231454182563,0.06751344000242086
15,0.0750291174378846,0.06105342111704495
20,0.07369748606109724,0.05640397202590334
25,0.06797793844938245,0.05487452076571339
30,0.06510209841320076,0.05190059189921559
35,0.056833368429496565,0.05058718805782682
40,0.05611031227157305,0.048510647792463286
