k,type,score,label
2,Kmeans,0.175708,0
2,Kmeans,0.245767,0
2,Kmeans,0.314123,1
2,Kmeans,0.381523,0
2,Kmeans,0.199714,1
2,Kmeans,0.34221,0
2,Kmeans,0.242564,1
2,Kmeans,0.317015,1
2,Kmeans,0.273778,1
2,Kmeans,0.236581,0
2,Kmeans,0.404033,1
2,Kmeans,0.203302,1
2,Kmeans,0.421866,1
2,Kmeans,0.181682,1
2,Kmeans,0.29349,0
2,Kmeans,0.339885,0
2,Kmeans,0.375035,1
2,Kmeans,0.115584,1
2,Kmeans,0.229967,1
2,Kmeans,0.409207,0
2,Kmeans,0.330414,0
2,Kmeans,0.095385,0
2,Kmeans,0.238281,0
2,Kmeans,0.366847,1
2,Kmeans,0.384635,1
2,Kmeans,0.318487,0
2,Kmeans,0.214993,1
2,Kmeans,0.242716,1
2,Kmeans,0.285303,0
2,Kmeans,0.389072,1
2,Kmeans,0.212481,1
2,Kmeans,0.418681,1
2,Kmeans,0.383968,1
2,Kmeans,0.368246,0
2,Kmeans,0.108855,0
2,Kmeans,0.329386,0
2,Kmeans,0.057881,0
2,Kmeans,0.123303,1
2,Kmeans,0.231086,0
2,Kmeans,0.357383,0
2,Kmeans,0.308606,1
2,Kmeans,0.352289,0
2,Kmeans,0.02328,1
2,Kmeans,0.375411,1
2,Kmeans,0.406884,0
2,Kmeans,0.416235,1
2,Kmeans,0.239332,0
2,Kmeans,0.391942,1
2,Kmeans,0.142307,1
2,Kmeans,0.316257,0
2,Kmeans,0.264182,1
2,Kmeans,0.35663,0
2,Kmeans,0.246727,1
2,Kmeans,0.273715,0
2,Kmeans,0.159619,1
2,Kmeans,0.357868,0
2,Kmeans,0.29416,0
2,Kmeans,0.379899,1
2,Kmeans,0.037983,0
2,Kmeans,0.393881,1
2,Kmeans,0.419964,1
2,Kmeans,0.393229,1
2,Kmeans,0.257567,1
2,Kmeans,0.264498,1
2,Kmeans,0.204126,0
2,Kmeans,0.311525,0
2,Kmeans,0.357058,0
2,Kmeans,0.377579,1
2,Kmeans,0.346602,0
2,Kmeans,0.278308,0
2,Kmeans,0.407652,0
2,Kmeans,0.386398,1
2,Kmeans,0.234996,1
2,Kmeans,0.37407,0
2,Kmeans,0.213652,1
2,Kmeans,0.420408,1
2,Kmeans,0.395195,1
2,Kmeans,0.068023,0
2,Kmeans,0.292123,0
2,Kmeans,0.09113,0
2,Kmeans,0.097414,1
2,Kmeans,0.310599,1
2,Kmeans,0.425729,1
2,Kmeans,0.255699,0
2,Kmeans,0.41522,1
2,Kmeans,0.280937,1
2,Kmeans,0.405445,1
2,Kmeans,0.040559,0
2,Kmeans,0.377814,0
2,Kmeans,0.33038,1
2,Kmeans,0.369961,1
2,Kmeans,0.183053,1
2,Kmeans,0.409521,0
2,Kmeans,0.240764,1
2,Kmeans,0.358447,1
2,Kmeans,0.327894,0
2,Kmeans,0.233547,0
2,Kmeans,0.427503,1
2,Kmeans,0.33443,0
2,Kmeans,0.339074,1
2,Kmeans,0.162395,1
2,Kmeans,0.218927,1
2,Kmeans,0.169741,1
2,Kmeans,0.191444,1
2,Kmeans,0.250092,1
2,Kmeans,0.319065,0
2,Kmeans,0.381717,0
2,Kmeans,0.371928,0
2,Kmeans,0.311213,1
2,Kmeans,0.351304,0
2,Kmeans,0.350126,0
2,Kmeans,0.230475,0
2,Kmeans,0.338861,0
2,Kmeans,0.396829,1
2,Kmeans,0.265981,0
2,Kmeans,0.04386,1
2,Kmeans,0.260464,0
2,Kmeans,0.365466,0
2,Kmeans,0.315274,1
2,Kmeans,0.302262,0
2,Kmeans,0.358303,1
2,Kmeans,0.329149,1
2,Kmeans,0.366565,0
2,Kmeans,0.312977,0
2,Kmeans,0.075546,0
2,Kmeans,0.369741,0
2,Kmeans,0.362132,1
2,Kmeans,0.399479,1
2,Kmeans,0.358742,1
2,Kmeans,0.217522,1
2,Kmeans,0.35721,0
2,Kmeans,0.354103,0
2,Kmeans,0.349224,1
2,Kmeans,0.157368,0
2,Kmeans,0.217532,0
2,Kmeans,0.406921,0
2,Kmeans,0.058695,1
2,Kmeans,0.379154,1
2,Kmeans,0.192903,1
2,Kmeans,0.23479,1
2,Kmeans,0.288508,0
2,Kmeans,0.203576,0
2,Kmeans,0.207231,0
2,Kmeans,0.378767,0
2,Kmeans,0.361787,1
2,Kmeans,0.242501,1
2,Kmeans,0.142536,0
2,Kmeans,0.373573,1
2,Kmeans,0.347724,0
2,Kmeans,0.429569,1
2,Kmeans,0.406087,1
2,Kmeans,0.302866,1
2,Kmeans,0.205015,1
2,Kmeans,0.384789,0
2,Kmeans,0.325535,1
