k,GMM,Kmeans
2,0.2753061395976218,0.2754439468523782
3,0.293297807503151,0.28408574257965874
4,0.23698215400522626,0.3041831817364532
5,0.27326421544515656,0.27587488228500096
6,0.27753659853683,0.30520524811708194
7,0.29097430281061115,0.28377695841439704
8,0.20999082369496158,0.31067395592410435
9,0.2603237692795478,0.2510699497875771
10,0.25956737626959775,0.23107336303107917
15,0.1660936228588418,0.23025560776722076
20,0.14281737582729953,0.2438248351643176
25,0.110142828874206,0.23783443093430823
30,0.05533523907291544,0.24334906057532868
35,0.05928002572426919,0.23254810432279527
40,0.04550652262063312,0.22866451507623026
