k,GMM,Kmeans
2,0.00837946343388013,0.026572171207669963
3,0.009936194126351928,0.02389041198092445
4,0.0087390710900278,0.005023408072520205
5,0.0041588782541156265,0.01720660259211918
6,0.014309114878741954,0.01900115914998533
7,0.017238886957192938,0.01862143392910916
8,0.018698227278610362,0.031690146999400697
9,0.03432296853785557,0.04280280417903142
10,0.026605962939827813,0.03692021706463718
15,0.04367970495273103,0.03610705120430322
20,0.0370937112604874,0.04304204231874882
25,0.04290078860965373,0.04732234126712641
30,0.04918153892605474,0.05386562726958332
35,0.04799352522617992,0.05447402049207079
40,0.04872815844505724,0.049279461802082286
