,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.3867438793182373,0.04615121989898451,0.0023993492126464845,0.001356509232343668,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.5408163265306123,0.5102040816326531,0.5510204081632653,0.5102040816326531,0.4642857142857143,0.5153061224489796,0.030270197906512898,266,0.5663265306122449,0.5127551020408163,0.5191326530612245,0.5089285714285714,0.4897959183673469,0.5193877551020407,0.025425881044822355
1,0.6654281139373779,0.09057031340665103,0.0030078887939453125,0.002699817873187763,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.5459183673469388,0.5306122448979592,0.49489795918367346,0.5051020408163265,0.5663265306122449,0.5285714285714286,0.026135200969113686,239,0.5701530612244898,0.5025510204081632,0.5051020408163265,0.5051020408163265,0.5357142857142857,0.5237244897959183,0.026234612514658074
2,0.7843278884887696,0.10145246150881887,0.005030775070190429,0.0025475989949580984,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.5051020408163265,0.5663265306122449,0.5561224489795918,0.5306122448979592,0.6377551020408163,0.5591836734693878,0.044665446180080184,154,0.5522959183673469,0.5829081632653061,0.5663265306122449,0.5586734693877551,0.5841836734693877,0.5688775510204082,0.01278058678558709
3,0.8315348625183105,0.23411484674257382,0.00040826797485351565,0.0008165359497070313,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.576530612244898,0.5204081632653061,0.576530612244898,0.5612244897959183,0.5459183673469388,0.5561224489795918,0.02115963403400788,171,0.5803571428571429,0.5471938775510204,0.5637755102040817,0.5931122448979592,0.5522959183673469,0.5673469387755102,0.017196224026890538
4,0.8171029567718506,0.1648806183330586,0.0028353214263916017,0.003738872581340955,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.5918367346938775,0.5306122448979592,0.6224489795918368,0.6071428571428571,0.6173469387755102,0.5938775510204082,0.0333159749332949,73,0.6313775510204082,0.5778061224489796,0.5752551020408163,0.6364795918367347,0.6071428571428571,0.6056122448979593,0.025743828186822193
5,0.7568593502044678,0.17443119030503798,0.0046294212341308595,0.003809613414708148,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.5918367346938775,0.6020408163265306,0.6479591836734694,0.5714285714285714,0.6275510204081632,0.6081632653061224,0.026881509943509168,43,0.6466836734693877,0.6224489795918368,0.6071428571428571,0.639030612244898,0.6211734693877551,0.627295918367347,0.01400507880746001
6,0.9246306419372559,0.18277366459791106,0.0030205249786376953,0.0037133475757651253,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.6020408163265306,0.5459183673469388,0.6071428571428571,0.576530612244898,0.5663265306122449,0.5795918367346938,0.02272556882787763,104,0.6084183673469388,0.6441326530612245,0.6352040816326531,0.6479591836734694,0.6045918367346939,0.628061224489796,0.01812122513793678
7,0.9004252910614013,0.16427616886112956,0.0014181137084960938,0.0012092333390036258,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.6326530612244898,0.6275510204081632,0.6071428571428571,0.6071428571428571,0.576530612244898,0.610204081632653,0.019786448397617666,40,0.625,0.6836734693877551,0.6466836734693877,0.6607142857142857,0.5918367346938775,0.6415816326530612,0.03134746359041966
8,0.842525053024292,0.1633664442630289,0.005258798599243164,0.004155983026722456,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.6377551020408163,0.6122448979591837,0.6224489795918368,0.5510204081632653,0.6479591836734694,0.6142857142857143,0.0339352839761549,30,0.6530612244897959,0.7028061224489796,0.6951530612244898,0.6530612244897959,0.6479591836734694,0.6704081632653061,0.023527545510548645
9,0.9693571567535401,0.23857322611570525,0.00242462158203125,0.003908469510329552,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.6173469387755102,0.5969387755102041,0.6428571428571429,0.5408163265306123,0.6683673469387755,0.613265306122449,0.043460284569483365,34,0.6747448979591837,0.7104591836734694,0.7168367346938775,0.6632653061224489,0.6951530612244898,0.6920918367346939,0.02044957533043989
