k,type,score,label
2,Kmeans,0.053985,0
2,Kmeans,0.089186,1
2,Kmeans,0.264861,1
2,Kmeans,0.06601,1
2,Kmeans,0.266145,0
2,Kmeans,0.099848,0
2,Kmeans,0.177256,1
2,Kmeans,0.312659,1
2,Kmeans,0.060357,0
2,Kmeans,0.305147,1
2,Kmeans,0.021634,1
2,Kmeans,0.076917,0
2,Kmeans,0.170445,0
2,Kmeans,0.00594,0
2,Kmeans,0.090005,0
2,Kmeans,0.224399,0
2,Kmeans,0.180697,1
2,Kmeans,0.073905,1
2,Kmeans,0.013648,1
2,Kmeans,0.061281,0
2,Kmeans,0.113489,1
2,Kmeans,0.160162,0
2,Kmeans,0.109867,0
2,Kmeans,0.284627,0
2,Kmeans,0.069414,0
2,Kmeans,0.062146,1
2,Kmeans,0.241769,1
2,Kmeans,0.255504,1
2,Kmeans,0.124718,1
2,Kmeans,0.094656,0
2,Kmeans,0.225452,0
2,Kmeans,0.041481,0
2,Kmeans,0.279346,1
2,Kmeans,0.266597,0
2,Kmeans,0.080085,0
2,Kmeans,0.132416,0
2,Kmeans,0.032253,1
2,Kmeans,0.050912,0
2,Kmeans,0.143825,0
2,Kmeans,0.067796,1
2,Kmeans,0.099245,0
2,Kmeans,0.146508,0
2,Kmeans,0.195797,1
2,Kmeans,0.103775,1
2,Kmeans,0.118045,1
2,Kmeans,0.19641,1
2,Kmeans,0.146788,1
2,Kmeans,0.064314,0
2,Kmeans,0.110279,0
2,Kmeans,0.095435,1
2,Kmeans,0.180206,1
2,Kmeans,0.055487,1
2,Kmeans,0.281707,0
2,Kmeans,0.239034,0
2,Kmeans,0.174215,0
2,Kmeans,0.223926,0
2,Kmeans,0.318122,1
2,Kmeans,0.136212,0
2,Kmeans,0.160072,1
2,Kmeans,0.061674,0
2,Kmeans,0.108741,1
2,Kmeans,0.060582,1
2,Kmeans,0.256286,0
2,Kmeans,0.250064,1
2,Kmeans,0.171908,1
2,Kmeans,0.093757,1
2,Kmeans,0.243236,1
2,Kmeans,0.068333,0
2,Kmeans,0.185927,1
2,Kmeans,-0.000364,0
2,Kmeans,0.293177,0
2,Kmeans,0.249963,0
2,Kmeans,0.125178,0
2,Kmeans,0.278189,1
2,Kmeans,0.087813,1
2,Kmeans,0.245606,0
2,Kmeans,0.170743,1
2,Kmeans,0.175499,0
2,Kmeans,0.100057,1
2,Kmeans,0.205555,1
2,Kmeans,0.16679,0
2,Kmeans,0.088833,1
2,Kmeans,0.282974,0
2,Kmeans,0.164306,1
2,Kmeans,0.279894,1
2,Kmeans,0.106668,0
2,Kmeans,0.269905,0
2,Kmeans,0.220313,0
2,Kmeans,0.084374,0
2,Kmeans,0.138482,1
2,Kmeans,0.128568,0
2,Kmeans,0.17871,1
2,Kmeans,0.194618,1
2,Kmeans,0.247948,1
2,Kmeans,0.212336,1
2,Kmeans,0.078615,1
2,Kmeans,0.042242,0
2,Kmeans,0.035809,1
2,Kmeans,0.249168,0
2,Kmeans,0.205076,0
2,Kmeans,0.264016,1
2,Kmeans,0.071041,1
2,Kmeans,0.214583,1
2,Kmeans,0.163137,0
2,Kmeans,-0.007527,0
2,Kmeans,0.124429,0
2,Kmeans,0.021136,1
2,Kmeans,0.136847,1
2,Kmeans,0.177813,0
2,Kmeans,0.286537,1
2,Kmeans,0.181025,0
2,Kmeans,0.050596,1
2,Kmeans,0.05907,1
2,Kmeans,0.054567,0
2,Kmeans,0.144886,0
2,Kmeans,0.235333,1
