k,GMM,Kmeans
2,0.043474402797380886,0.14816377854470186
3,0.021607714718082937,0.13487618787876648
4,0.03351430811836196,0.12019634307654543
5,0.059082989501457614,0.11865313750811644
6,0.06993839450926968,0.11765119944798713
7,0.06608087337350493,0.11729568364614038
8,0.05998018147761628,0.11664267787334452
9,0.07878859002381212,0.11784969959830914
10,0.06931160979666846,0.11392007600008527
15,0.09371745715942076,0.11065135538083488
20,0.10303250303449409,0.10659316968992809
25,0.09480032227136478,0.10940934699776331
30,0.1016919695437539,0.10099294353436564
35,0.09295327768143048,0.1016610806854893
40,0.09360674611422265,0.09527949370672566
