k,GMM,Kmeans
2,0.002033181218544418,0.08074382032987075
3,-0.0006283231525782258,0.0748661232105566
4,-0.0008315273654969535,0.0722819081594536
5,-0.0011645655843255161,0.06140881723492446
6,0.006059075493535916,0.049041057682470426
7,0.0028982766017944307,0.04390977936578242
8,0.003179901688358395,0.03923962571980265
9,0.005129703211202266,0.037832807395368304
10,0.010026288425699584,0.03431013914368887
15,0.007575684858694155,0.03336672774875507
20,0.030667022731372055,0.03256289200800658
25,0.025087285174046924,0.029106982254593558
30,0.029261092163003252,0.030366626821997957
35,0.025605745072598864,0.030068474866189115
40,0.024537298447976374,0.03053425108099144
