k,type,score,label
2,Kmeans,0.197443,0
2,Kmeans,0.258335,0
2,Kmeans,0.367037,1
2,Kmeans,0.232645,0
2,Kmeans,0.120627,1
2,Kmeans,0.205388,0
2,Kmeans,0.235629,1
2,Kmeans,0.26266,1
2,Kmeans,0.236064,1
2,Kmeans,0.113613,0
2,Kmeans,0.181665,1
2,Kmeans,0.337947,1
2,Kmeans,0.380057,1
2,Kmeans,0.264512,1
2,Kmeans,0.054992,0
2,Kmeans,0.179557,0
2,Kmeans,0.149764,1
2,Kmeans,0.342759,1
2,Kmeans,0.429431,1
2,Kmeans,0.091555,0
2,Kmeans,0.214759,0
2,Kmeans,0.204869,1
2,Kmeans,0.221385,0
2,Kmeans,0.372918,1
2,Kmeans,0.398705,1
2,Kmeans,0.194889,0
2,Kmeans,0.399978,1
2,Kmeans,0.3634,1
2,Kmeans,0.356724,0
2,Kmeans,0.201901,1
2,Kmeans,0.32881,1
2,Kmeans,-0.029941,0
2,Kmeans,0.380272,1
2,Kmeans,0.244554,0
2,Kmeans,0.047018,1
2,Kmeans,0.188504,0
2,Kmeans,0.102051,1
2,Kmeans,0.448808,1
2,Kmeans,0.249305,0
2,Kmeans,0.286415,0
2,Kmeans,0.154303,1
2,Kmeans,0.261806,0
2,Kmeans,0.028923,0
2,Kmeans,0.250551,1
2,Kmeans,0.227557,0
2,Kmeans,0.407341,1
2,Kmeans,0.020541,0
2,Kmeans,0.033783,0
2,Kmeans,0.264147,1
2,Kmeans,0.367641,0
2,Kmeans,0.302937,1
2,Kmeans,0.225721,0
2,Kmeans,0.299323,0
2,Kmeans,0.253184,0
2,Kmeans,0.324049,1
2,Kmeans,0.22388,0
2,Kmeans,0.223791,0
2,Kmeans,0.127317,1
2,Kmeans,0.093315,0
2,Kmeans,0.357021,1
2,Kmeans,0.237425,1
2,Kmeans,0.073841,1
2,Kmeans,0.392856,1
2,Kmeans,0.005785,0
2,Kmeans,0.227199,0
2,Kmeans,0.319255,0
2,Kmeans,0.299343,0
2,Kmeans,0.407624,1
2,Kmeans,0.186944,0
2,Kmeans,0.1335,1
2,Kmeans,0.206784,0
2,Kmeans,0.333963,1
2,Kmeans,0.274634,1
2,Kmeans,0.309441,0
2,Kmeans,0.403216,1
2,Kmeans,0.329089,1
2,Kmeans,0.249031,1
2,Kmeans,0.207557,1
2,Kmeans,0.238998,0
2,Kmeans,0.265161,1
2,Kmeans,0.225893,1
2,Kmeans,0.256264,1
2,Kmeans,0.393851,1
2,Kmeans,0.124935,0
2,Kmeans,0.245447,1
2,Kmeans,0.356015,1
2,Kmeans,0.371039,1
2,Kmeans,0.142305,0
2,Kmeans,0.313509,0
2,Kmeans,-0.001561,0
2,Kmeans,0.409205,1
2,Kmeans,0.288621,1
2,Kmeans,0.22561,0
2,Kmeans,0.257104,1
2,Kmeans,0.371547,1
2,Kmeans,0.218533,0
2,Kmeans,0.045362,0
2,Kmeans,-0.033223,0
2,Kmeans,0.265233,0
2,Kmeans,0.403144,1
2,Kmeans,0.34387,1
2,Kmeans,0.157078,1
2,Kmeans,0.108939,1
2,Kmeans,0.176753,1
2,Kmeans,0.396768,1
2,Kmeans,0.189313,0
2,Kmeans,0.224656,0
2,Kmeans,0.121946,1
2,Kmeans,0.370533,1
2,Kmeans,0.294369,0
2,Kmeans,0.322116,0
2,Kmeans,0.0312,0
2,Kmeans,0.109468,0
2,Kmeans,0.33456,1
2,Kmeans,0.29244,0
2,Kmeans,0.266775,1
2,Kmeans,0.202384,0
2,Kmeans,0.216313,0
2,Kmeans,0.237863,1
2,Kmeans,0.288608,0
2,Kmeans,0.121811,1
2,Kmeans,0.17836,1
2,Kmeans,0.368267,0
2,Kmeans,0.170138,0
2,Kmeans,0.265525,1
2,Kmeans,0.23245,0
2,Kmeans,0.157657,1
2,Kmeans,0.18155,1
2,Kmeans,0.364053,1
2,Kmeans,0.073963,0
2,Kmeans,0.084878,0
2,Kmeans,0.216808,0
2,Kmeans,0.392369,1
2,Kmeans,0.277485,0
2,Kmeans,0.246969,0
2,Kmeans,0.087158,0
2,Kmeans,0.300345,1
2,Kmeans,0.356537,1
2,Kmeans,0.006654,0
2,Kmeans,0.049407,1
2,Kmeans,0.211632,0
2,Kmeans,0.205245,0
2,Kmeans,0.305532,0
2,Kmeans,0.310195,0
2,Kmeans,0.285422,1
2,Kmeans,0.131872,1
2,Kmeans,0.020634,0
2,Kmeans,0.205362,1
2,Kmeans,0.204823,0
2,Kmeans,0.37263,1
2,Kmeans,0.05666,0
2,Kmeans,0.140413,1
2,Kmeans,0.130136,1
2,Kmeans,0.225065,0
2,Kmeans,0.08565,0
2,Kmeans,0.340253,0
2,Kmeans,0.25694,0
2,Kmeans,0.242013,0
2,Kmeans,0.257078,1
2,Kmeans,0.36569,0
2,Kmeans,0.379092,1
2,Kmeans,0.070835,0
2,Kmeans,0.022719,0
2,Kmeans,0.310227,1
2,Kmeans,0.262204,0
2,Kmeans,0.231859,0
2,Kmeans,0.217949,1
2,Kmeans,0.166901,1
2,Kmeans,0.357369,0
2,Kmeans,-0.038634,0
2,Kmeans,0.389264,1
2,Kmeans,0.373409,0
2,Kmeans,0.261966,1
2,Kmeans,0.242296,0
2,Kmeans,0.403003,1
2,Kmeans,0.213814,0
2,Kmeans,0.261489,0
2,Kmeans,0.273304,1
2,Kmeans,0.178382,0
2,Kmeans,0.337984,0
2,Kmeans,0.314216,0
2,Kmeans,0.250339,1
2,Kmeans,0.315684,0
