k,GMM,Kmeans
2,0.17387748264176411,0.2319427868816275
3,0.1713203647275965,0.23674502680865273
4,0.17188920352869652,0.24357469573545323
5,0.09221911918658017,0.24066438728618322
6,0.06841323405989562,0.24420364294922023
7,0.07724979673503952,0.24892427149278235
8,0.05933796733325123,0.2448011599810992
9,0.08041413410624125,0.2485498498673008
10,0.059154752310380775,0.20229617256515928
15,0.11641606602077408,0.22985401596196084
20,0.06034703579343418,0.21129903552787235
25,0.08045571118706434,0.20904053867074598
30,0.04983438714232115,0.2095571793694195
35,0.0063505005308358686,0.2290616420393348
40,0.009108818509315308,0.23805675279850338
