k,GMM,Kmeans
2,0.5316326530612245,0.5346938775510204
3,0.536734693877551,0.5224489795918368
4,0.5326530612244897,0.5255102040816326
5,0.5438775510204081,0.5448979591836735
6,0.5438775510204081,0.5428571428571428
7,0.5275510204081633,0.5357142857142857
8,0.536734693877551,0.536734693877551
9,0.539795918367347,0.55
10,0.563265306122449,0.5357142857142857
15,0.5520408163265306,0.5551020408163265
20,0.5591836734693878,0.5551020408163265
25,0.5653061224489796,0.5775510204081633
30,0.5857142857142857,0.5918367346938775
35,0.5714285714285714,0.5887755102040816
40,0.5928571428571429,0.5908163265306122
