k,GMM,Kmeans
2,0.7592860588519055,0.7592860588519055
3,0.7592860588519055,0.7592860588519055
4,0.7592860588519055,0.7592860588519055
5,0.7592860588519055,0.7592860588519055
6,0.7616980221900627,0.7650747708634829
7,0.7616980221900627,0.7655571635311144
8,0.7621804148576942,0.7650747708634829
9,0.7645923781958515,0.7650747708634829
10,0.76410998552822,0.7650747708634829
15,0.76410998552822,0.7650747708634829
20,0.7650747708634829,0.7650747708634829
25,0.7655571635311144,0.7742402315484804
30,0.7660395561987458,0.7805113362276893
35,0.7655571635311144,0.7679691268692715
40,0.7655571635311144,0.7727930535455861
