k,GMM,Kmeans
2,0.29702135194959445,0.18505798573444693
3,0.16108514749792588,0.19375686445140508
4,-0.006829328928970762,0.13306889001397454
5,-0.0038220861688689936,0.13833978597497534
6,0.04069766824329936,0.15120554463258057
7,0.13444723423428273,0.19245522899031237
8,0.055253521630591274,0.17451131762893105
9,0.04486093220169114,0.19501830478318236
10,0.0018829007241479613,0.17197863891400056
15,0.08418595076203562,0.16712538248494355
20,0.13797394000465515,0.19017099669932644
25,0.09665895578545437,0.16892884760279217
30,0.062265354434102874,0.20063749420242824
35,0.09345823465958474,0.19575822828242528
40,0.115721368403471,0.2055166637706412
