k,GMM,Kmeans
2,0.005361240389523047,0.0011444553571968836
3,-0.0006428446612685157,0.0024203641582262706
4,0.002408269114232432,-0.0004053481361572288
5,0.000667487425193318,0.0011673783362196064
6,0.0018082413453656618,0.0020523587559154515
7,0.001378638578447562,-0.00034883487309805443
8,0.003081511431060316,0.0025005349941248515
9,0.0021545958248269208,0.003353814166934263
10,0.0012852011191090496,0.0030105871235225844
15,0.0017973670030099127,0.005362721059621104
20,0.0014241375378206593,0.00452595492828319
25,0.0007229384454770067,0.0021004669220986436
30,0.0005922165628886144,0.0031668866158032403
35,0.0014127194021054086,0.001681318661293283
40,0.0028251096303121065,0.0003551526903550745
