,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.4550044536590576,0.028809360976737985,0.004058361053466797,0.002283757112357366,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.5,0.5,0.5,0.5,0.5,0.5,0.0,148,0.5,0.5,0.5,0.5,0.5,0.5,0.0
1,0.5798702239990234,0.11846015102479718,0.007166481018066407,0.0032463621990513982,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.5,0.4846938775510204,0.4897959183673469,0.5,0.4897959183673469,0.4928571428571429,0.006122448979591843,231,0.5,0.5267857142857143,0.5420918367346939,0.5,0.5318877551020408,0.5201530612244898,0.017177291703604505
2,0.5716622829437256,0.060246774569293275,0.009276533126831054,0.002094331771437117,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.5,0.5102040816326531,0.5153061224489796,0.5,0.49489795918367346,0.5040816326530613,0.007498437988111762,84,0.5012755102040817,0.5471938775510204,0.5229591836734694,0.5,0.5357142857142857,0.5214285714285715,0.01863118330256144
3,0.5886082649230957,0.12691374440227118,0.011234283447265625,0.0026491851766500692,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.47959183673469385,0.5,0.4897959183673469,0.5,0.47959183673469385,0.4897959183673469,0.009126808071427723,266,0.5395408163265306,0.5,0.5153061224489796,0.5,0.5612244897959183,0.5232142857142856,0.023881693343813154
4,0.6244345664978027,0.18452172392861932,0.011209726333618164,0.0023012058249526415,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.5051020408163265,0.4846938775510204,0.5612244897959183,0.5102040816326531,0.46938775510204084,0.5061224489795918,0.031185115897828807,59,0.5573979591836735,0.5280612244897959,0.5242346938775511,0.5344387755102041,0.5497448979591837,0.5387755102040817,0.012744893874282457
5,0.6755046844482422,0.08858159000526128,0.011399602890014649,0.0025767515022546905,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.5,0.5,0.45408163265306123,0.5,0.4744897959183674,0.4857142857142857,0.01864863967601741,281,0.5,0.5,0.5051020408163265,0.5,0.5408163265306123,0.5091836734693878,0.015939285052870743
6,0.7007998466491699,0.08834406337818927,0.014999914169311523,0.0018974554467573502,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.5,0.5612244897959183,0.45918367346938777,0.4642857142857143,0.4744897959183674,0.49183673469387756,0.037436604750702304,244,0.5,0.5357142857142857,0.5420918367346939,0.5548469387755102,0.5306122448979592,0.5326530612244899,0.01822864294382636
7,0.6983993530273438,0.08769717117741709,0.01084914207458496,0.0019736140935611097,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.5,0.47959183673469385,0.5204081632653061,0.5051020408163265,0.5408163265306123,0.5091836734693878,0.020509950247185514,32,0.5344387755102041,0.548469387755102,0.5242346938775511,0.5191326530612245,0.5701530612244898,0.5392857142857144,0.01840274367027698
8,0.6541313648223877,0.07156683486278724,0.012018299102783203,0.0012369533413939511,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.5306122448979592,0.4387755102040816,0.4744897959183674,0.5408163265306123,0.5918367346938775,0.5153061224489796,0.05341327480939755,7,0.5573979591836735,0.5561224489795918,0.5344387755102041,0.5063775510204082,0.5637755102040817,0.5436224489795919,0.021088778250449382
9,0.6260295867919922,0.07732994485923986,0.023652362823486327,0.0042031362064078375,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.5306122448979592,0.49489795918367346,0.5051020408163265,0.5051020408163265,0.5408163265306123,0.5153061224489796,0.01737692486319024,7,0.576530612244898,0.5510204081632653,0.5127551020408163,0.4897959183673469,0.5459183673469388,0.5352040816326531,0.030458799095100617
