k,GMM,Kmeans
2,-0.0003546396044075124,0.037865882411920945
3,0.09713907013215697,0.07884812846932797
4,0.014817182333983839,0.07189162375001713
5,0.008134458523292852,0.05003787688893263
6,0.05482503326772469,0.062485639665824766
7,0.05320113366410974,0.05964297844352706
8,0.073037905714632,0.06064452560101741
9,0.07492301380236303,0.05506188317438431
10,0.07183424815223018,0.03777972280997476
15,0.03814655480736616,0.0517847169347096
20,0.024191351976873828,0.05097947305913147
25,0.042310258724699845,0.04965007812093698
30,0.027574075532229285,0.0466295200586911
35,0.03485968831928085,0.046845279455429004
40,0.031072471141158985,0.03500892114543206
