k,type,score,label
2,Kmeans,0.016961,1
2,Kmeans,0.031396,0
2,Kmeans,0.017461,0
2,Kmeans,0.042895,1
2,Kmeans,0.020458,1
2,Kmeans,0.037791,0
2,Kmeans,0.023736,0
2,Kmeans,0.025043,0
2,Kmeans,0.021441,0
2,Kmeans,0.024524,0
2,Kmeans,0.03099,1
2,Kmeans,0.008555,1
2,Kmeans,0.011569,0
2,Kmeans,0.012574,1
2,Kmeans,0.030782,1
2,Kmeans,0.012387,0
2,Kmeans,0.004979,0
2,Kmeans,0.052386,1
2,Kmeans,0.062556,0
2,Kmeans,0.003018,0
2,Kmeans,0.021893,1
2,Kmeans,0.008524,0
2,Kmeans,0.040094,1
2,Kmeans,0.008635,1
2,Kmeans,0.019576,0
2,Kmeans,0.02997,1
2,Kmeans,0.025912,1
2,Kmeans,0.011771,0
2,Kmeans,0.009539,1
2,Kmeans,0.007684,1
2,Kmeans,0.034407,0
2,Kmeans,0.006204,0
2,Kmeans,0.048602,0
2,Kmeans,0.012151,0
2,Kmeans,0.031605,0
2,Kmeans,0.036499,1
2,Kmeans,0.018404,1
2,Kmeans,0.041908,0
2,Kmeans,0.017875,0
2,Kmeans,0.023726,1
2,Kmeans,0.002385,0
2,Kmeans,0.027862,1
2,Kmeans,0.013816,0
2,Kmeans,0.049868,1
2,Kmeans,0.017298,0
2,Kmeans,0.01298,1
2,Kmeans,0.017558,0
2,Kmeans,0.026077,0
2,Kmeans,-0.001316,0
2,Kmeans,0.042065,1
2,Kmeans,0.019888,0
2,Kmeans,0.003323,0
2,Kmeans,0.018011,1
2,Kmeans,0.051242,0
2,Kmeans,0.014596,1
2,Kmeans,0.013921,0
2,Kmeans,0.028835,0
2,Kmeans,0.014322,0
2,Kmeans,0.012807,0
2,Kmeans,0.033975,0
2,Kmeans,0.031035,1
2,Kmeans,0.019342,0
2,Kmeans,0.021054,0
2,Kmeans,0.000978,1
2,Kmeans,0.030203,1
2,Kmeans,0.02309,1
2,Kmeans,0.012792,1
2,Kmeans,0.004364,1
2,Kmeans,0.008241,0
2,Kmeans,0.002052,0
2,Kmeans,0.014502,1
2,Kmeans,0.041018,1
2,Kmeans,-4.9e-05,0
2,Kmeans,0.021436,0
2,Kmeans,0.009241,1
2,Kmeans,0.044614,1
2,Kmeans,0.042516,1
2,Kmeans,0.014822,1
2,Kmeans,0.02933,1
2,Kmeans,0.019681,1
2,Kmeans,0.027341,0
2,Kmeans,0.007173,0
2,Kmeans,0.012206,0
2,Kmeans,0.039301,1
2,Kmeans,0.038543,1
2,Kmeans,0.011188,1
2,Kmeans,0.054509,0
2,Kmeans,0.043923,1
2,Kmeans,0.022282,0
2,Kmeans,0.007192,0
2,Kmeans,0.009128,0
2,Kmeans,0.0058,1
2,Kmeans,0.053308,1
2,Kmeans,0.026317,0
2,Kmeans,0.001555,0
2,Kmeans,0.048158,0
2,Kmeans,0.000702,0
2,Kmeans,0.001419,0
2,Kmeans,0.037269,0
2,Kmeans,0.018039,1
2,Kmeans,0.002378,0
2,Kmeans,0.017887,0
2,Kmeans,0.037986,1
2,Kmeans,0.05669,0
2,Kmeans,0.024546,0
2,Kmeans,0.014937,1
2,Kmeans,0.015626,0
2,Kmeans,0.015895,0
2,Kmeans,0.002755,1
2,Kmeans,0.016829,0
2,Kmeans,0.001231,0
2,Kmeans,0.031281,0
2,Kmeans,0.001508,1
2,Kmeans,0.016845,1
2,Kmeans,0.005187,0
