,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_NN__alpha,param_NN__hidden_layer_sizes,param_gmm__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0,0.483880615234375,0.07361647730808692,0.0022915363311767577,0.0029820770489509614,0.1,"(50, 50)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 2}",0.49489795918367346,0.5051020408163265,0.5051020408163265,0.5357142857142857,0.5051020408163265,0.5091836734693878,0.013841489761480143,66,0.5535714285714286,0.4987244897959184,0.5344387755102041,0.4987244897959184,0.5025510204081632,0.5176020408163265,0.022434480475429255
1,0.5333252906799316,0.07202308372564446,0.0038454532623291016,0.0031429014689138895,0.1,"(50, 50)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 3}",0.5204081632653061,0.4387755102040816,0.4897959183673469,0.49489795918367346,0.4897959183673469,0.48673469387755103,0.02653061224489797,280,0.5,0.5063775510204082,0.5114795918367347,0.5,0.514030612244898,0.5063775510204082,0.005761015199304209
2,0.640259075164795,0.10612038337395369,0.005169200897216797,0.0037095233903781137,0.1,"(50, 50)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 4}",0.5051020408163265,0.5204081632653061,0.5204081632653061,0.4387755102040816,0.4744897959183674,0.49183673469387756,0.03138480918210143,266,0.5612244897959183,0.5102040816326531,0.5382653061224489,0.5229591836734694,0.514030612244898,0.5293367346938775,0.01864165908820927
3,0.5353212356567383,0.0416142532455819,0.00464024543762207,0.0032923895696860004,0.1,"(50, 50)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 5}",0.49489795918367346,0.5051020408163265,0.5051020408163265,0.45408163265306123,0.5204081632653061,0.4959183673469388,0.02244897959183673,242,0.5395408163265306,0.5102040816326531,0.5293367346938775,0.514030612244898,0.5153061224489796,0.5216836734693878,0.01103150424002023
4,0.5338433265686036,0.10013663699942832,0.008547449111938476,0.0035311534492136047,0.1,"(50, 50)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 6}",0.4744897959183674,0.5357142857142857,0.5357142857142857,0.46938775510204084,0.5510204081632653,0.513265306122449,0.034240738235841846,41,0.5471938775510204,0.5204081632653061,0.5625,0.5331632653061225,0.5229591836734694,0.5372448979591837,0.015754487404739295
5,0.6176002025604248,0.10627069293335115,0.010200881958007812,0.0014701135164994301,0.1,"(50, 50)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 7}",0.4489795918367347,0.49489795918367346,0.5102040816326531,0.44387755102040816,0.49489795918367346,0.4785714285714286,0.026881509943509168,297,0.5459183673469388,0.5293367346938775,0.5408163265306123,0.514030612244898,0.5344387755102041,0.5329081632653062,0.01098420925592397
6,0.4523271083831787,0.06606619827590005,0.009008073806762695,0.0035042370902889143,0.1,"(50, 50)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 8}",0.4642857142857143,0.49489795918367346,0.45918367346938777,0.4846938775510204,0.5051020408163265,0.4816326530612245,0.01755576585110738,284,0.5089285714285714,0.4987244897959184,0.4923469387755102,0.5548469387755102,0.5089285714285714,0.5127551020408163,0.021974342313630622
7,0.49294567108154297,0.028002165916004802,0.013303661346435547,0.0030117719153579144,0.1,"(50, 50)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 9}",0.5,0.5357142857142857,0.5204081632653061,0.5459183673469388,0.5153061224489796,0.523469387755102,0.016004476674855227,12,0.5459183673469388,0.5446428571428571,0.5204081632653061,0.5535714285714286,0.5038265306122449,0.5336734693877551,0.01861720641889687
8,0.5053922653198242,0.039292655178959496,0.011345100402832032,0.0009939106542973199,0.1,"(50, 50)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 10}",0.4744897959183674,0.49489795918367346,0.5255102040816326,0.5153061224489796,0.4846938775510204,0.4989795918367347,0.018925752031623867,202,0.5433673469387755,0.5216836734693877,0.5433673469387755,0.5114795918367347,0.5089285714285714,0.525765306122449,0.014992535974403184
9,0.6684213161468506,0.13808415151110567,0.016469764709472656,0.003454721720458483,0.1,"(50, 50)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 15}",0.5,0.5,0.49489795918367346,0.49489795918367346,0.5,0.49795918367346936,0.0024994793293705926,217,0.5344387755102041,0.5,0.5510204081632653,0.5510204081632653,0.5,0.5272959183673469,0.023094837342359727
10,0.7127884864807129,0.0329220248341242,0.020652294158935547,0.0008311943671569129,0.1,"(50, 50)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 20}",0.5,0.5,0.5,0.5,0.5102040816326531,0.5020408163265306,0.004081632653061229,148,0.5408163265306123,0.5331632653061225,0.5701530612244898,0.5433673469387755,0.5561224489795918,0.5487244897959184,0.013017704920584773
11,0.8387388229370117,0.03720610936495649,0.027901220321655273,0.006815787401727909,0.1,"(50, 50)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 25}",0.4846938775510204,0.5,0.5,0.5,0.5,0.4969387755102041,0.006122448979591844,227,0.5306122448979592,0.4923469387755102,0.5216836734693877,0.5267857142857143,0.5204081632653061,0.5183673469387756,0.013513186365458191
12,1.1193227291107177,0.20921089163080703,0.0337918758392334,0.005955337953068281,0.1,"(50, 50)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 30}",0.5255102040816326,0.5612244897959183,0.49489795918367346,0.5357142857142857,0.5051020408163265,0.5244897959183673,0.023358210494407335,5,0.5867346938775511,0.5127551020408163,0.5701530612244898,0.5318877551020408,0.46811224489795916,0.5339285714285714,0.04215440618547067
13,1.0969699382781983,0.0502198334695701,0.03509268760681152,0.003926992903033049,0.1,"(50, 50)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 35}",0.49489795918367346,0.45918367346938777,0.5255102040816326,0.45408163265306123,0.46938775510204084,0.4806122448979592,0.026491336705606456,288,0.5522959183673469,0.4961734693877551,0.5573979591836735,0.5395408163265306,0.5025510204081632,0.5295918367346939,0.02543867522922024
14,1.3173964500427247,0.14572589047780102,0.05083379745483398,0.005019108950413791,0.1,"(50, 50)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50, 50), 'gmm__n_components': 40}",0.5357142857142857,0.49489795918367346,0.49489795918367346,0.5102040816326531,0.4897959183673469,0.5051020408163265,0.016767017066484678,114,0.5306122448979592,0.5956632653061225,0.5127551020408163,0.5497448979591837,0.5089285714285714,0.5395408163265307,0.03158530030465561
15,0.34672937393188474,0.07414974402181666,0.006066513061523437,0.0033624218460789087,0.1,"(50,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 2}",0.5,0.5051020408163265,0.5,0.5,0.5,0.5010204081632653,0.0020408163265305925,157,0.5,0.5,0.5,0.5,0.5,0.5,0.0
16,0.41696391105651853,0.06625163311440586,0.0046231746673583984,0.0019721447261256534,0.1,"(50,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 3}",0.5,0.4897959183673469,0.5,0.5051020408163265,0.4846938775510204,0.4959183673469388,0.007498437988111764,242,0.5357142857142857,0.5204081632653061,0.514030612244898,0.49107142857142855,0.49744897959183676,0.511734693877551,0.016041030532920907
17,0.4657147407531738,0.10291077081329043,0.008232307434082032,0.0025329861851317503,0.1,"(50,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 4}",0.4846938775510204,0.49489795918367346,0.5102040816326531,0.46938775510204084,0.5051020408163265,0.4928571428571429,0.014645612341231951,263,0.5229591836734694,0.5089285714285714,0.5395408163265306,0.5242346938775511,0.5165816326530612,0.5224489795918366,0.010127261857795524
18,0.41070265769958497,0.06550973876712124,0.0062313079833984375,0.0033975384988644552,0.1,"(50,)",5,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 5}",0.5,0.5153061224489796,0.5153061224489796,0.5,0.5,0.5061224489795918,0.0074984379881117506,97,0.5,0.5063775510204082,0.5191326530612245,0.5,0.5,0.5051020408163265,0.0074374386413843035
19,0.3779557228088379,0.09727457257538483,0.009642887115478515,0.001038760275003455,0.1,"(50,)",6,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 6}",0.5204081632653061,0.5357142857142857,0.5051020408163265,0.5255102040816326,0.4336734693877551,0.5040816326530613,0.03656423034116106,121,0.5012755102040817,0.514030612244898,0.5267857142857143,0.4732142857142857,0.49489795918367346,0.5020408163265306,0.018103260203275698
20,0.3555786609649658,0.14559391604893476,0.010484266281127929,0.0013165437186416786,0.1,"(50,)",7,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 7}",0.45408163265306123,0.5663265306122449,0.49489795918367346,0.4642857142857143,0.5357142857142857,0.503061224489796,0.042515646236734,133,0.5153061224489796,0.5127551020408163,0.5497448979591837,0.5306122448979592,0.5229591836734694,0.5262755102040816,0.013294708388566733
21,0.29859204292297364,0.020477235574416882,0.015549278259277344,0.00434891124703562,0.1,"(50,)",8,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 8}",0.4642857142857143,0.5306122448979592,0.46938775510204084,0.5204081632653061,0.5153061224489796,0.5,0.027569910379808767,176,0.5114795918367347,0.5012755102040817,0.4655612244897959,0.5204081632653061,0.5191326530612245,0.5035714285714287,0.02019016218102998
22,0.424593448638916,0.03507185927954421,0.017199373245239256,0.002856538240265307,0.1,"(50,)",9,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 9}",0.4897959183673469,0.5204081632653061,0.5051020408163265,0.5408163265306123,0.5153061224489796,0.5142857142857142,0.016890760568619257,33,0.5459183673469388,0.5446428571428571,0.5510204081632653,0.5242346938775511,0.4923469387755102,0.5316326530612244,0.021667160579169436
23,0.5352069854736328,0.034997126433693675,0.017583703994750975,0.005182153249863096,0.1,"(50,)",10,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 10}",0.5,0.5918367346938775,0.5,0.5204081632653061,0.5,0.5224489795918368,0.03558284851869937,14,0.5459183673469388,0.5344387755102041,0.5,0.5293367346938775,0.5,0.5219387755102041,0.018700911028684958
24,0.6892229080200195,0.0267126313210858,0.026200389862060545,0.0011657146011200504,0.1,"(50,)",15,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 15}",0.5255102040816326,0.49489795918367346,0.5153061224489796,0.5051020408163265,0.5357142857142857,0.5153061224489796,0.014430750636460155,24,0.5420918367346939,0.5854591836734694,0.5012755102040817,0.5344387755102041,0.5012755102040817,0.5329081632653062,0.03114335196333029
25,0.8440697669982911,0.01453463317182204,0.03837990760803223,0.01435923670927509,0.1,"(50,)",20,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 20}",0.5,0.47959183673469385,0.5204081632653061,0.49489795918367346,0.4897959183673469,0.4969387755102041,0.013537244042266954,227,0.514030612244898,0.5663265306122449,0.514030612244898,0.5306122448979592,0.5280612244897959,0.5306122448979591,0.01914115457377966
26,0.9642011165618897,0.10780581754923395,0.032598876953125,0.0027257333435487282,0.1,"(50,)",25,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 25}",0.5102040816326531,0.49489795918367346,0.5,0.49489795918367346,0.5,0.5,0.0055890056888282325,176,0.5408163265306123,0.5854591836734694,0.5408163265306123,0.5267857142857143,0.49489795918367346,0.5377551020408163,0.029159848273843995
27,1.1282896518707275,0.09364573171834008,0.03878660202026367,0.0024947302745486257,0.1,"(50,)",30,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 30}",0.4897959183673469,0.5,0.5,0.5102040816326531,0.46938775510204084,0.49387755102040815,0.013841489761480134,254,0.5089285714285714,0.5,0.5,0.5306122448979592,0.5739795918367347,0.522704081632653,0.027972959514026147
28,1.1532711505889892,0.07999286261502782,0.04398336410522461,0.0054213061134362915,0.1,"(50,)",35,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 35}",0.4846938775510204,0.5357142857142857,0.5153061224489796,0.5204081632653061,0.5102040816326531,0.513265306122449,0.01664235350030622,41,0.5688775510204082,0.5318877551020408,0.5446428571428571,0.5778061224489796,0.5089285714285714,0.5464285714285714,0.024937447775203958
29,1.1991467952728272,0.03148559684857845,0.05640053749084473,0.0033232446782896826,0.1,"(50,)",40,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (50,), 'gmm__n_components': 40}",0.5153061224489796,0.5102040816326531,0.5,0.5153061224489796,0.4897959183673469,0.5061224489795918,0.009893224198808826,97,0.5,0.5242346938775511,0.5178571428571429,0.5229591836734694,0.5051020408163265,0.514030612244898,0.009747435293134103
30,0.3810094356536865,0.09364670332884285,0.004399013519287109,0.001498456057417447,0.1,"(25,)",2,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 2}",0.5051020408163265,0.5255102040816326,0.4642857142857143,0.4846938775510204,0.4846938775510204,0.4928571428571429,0.020812324545276657,263,0.5535714285714286,0.5025510204081632,0.4744897959183674,0.49362244897959184,0.4923469387755102,0.5033163265306123,0.026726124191242442
31,0.4907994747161865,0.08876138280102015,0.005999851226806641,0.00089655329528167,0.1,"(25,)",3,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 3}",0.5306122448979592,0.5,0.5,0.5153061224489796,0.5051020408163265,0.5102040816326531,0.011634443113256523,64,0.5267857142857143,0.5191326530612245,0.475765306122449,0.4872448979591837,0.5165816326530612,0.5051020408163265,0.01989141703022237
32,0.4944965362548828,0.10729880306959563,0.007265853881835938,0.0013753416096581672,0.1,"(25,)",4,"{'NN__alpha': 0.1, 'NN__hidden_layer_sizes': (25,), 'gmm__n_components': 4}",0.5,0.49489795918367346,0.5,0.5,0.5,0.4989795918367347,0.0020408163265306146,202,0.5,0.5025510204081632,0.5395408163265306,0.5,0.5,0.5084183673469387,0.015592557948914416
