k,GMM,Kmeans
2,0.7592860588519055,0.7592860588519055
3,0.7592860588519055,0.7592860588519055
4,0.7592860588519055,0.7612156295224313
5,0.7592860588519055,0.7592860588519055
6,0.7592860588519055,0.768451519536903
7,0.7592860588519055,0.7592860588519055
8,0.7592860588519055,0.7670043415340086
9,0.7592860588519055,0.7718282682103232
10,0.7592860588519055,0.7727930535455861
15,0.769416304872166,0.7679691268692715
20,0.7727930535455861,0.7703810902074288
25,0.7665219488663773,0.769416304872166
30,0.7665219488663773,0.7906415822479498
35,0.7771345875542692,0.7766521948866377
40,0.7756874095513748,0.7742402315484804
