k,type,score,label
2,Kmeans,0.06215,1
2,Kmeans,0.102862,1
2,Kmeans,0.066674,0
2,Kmeans,0.095551,1
2,Kmeans,0.041633,0
2,Kmeans,0.054361,1
2,Kmeans,0.034048,0
2,Kmeans,0.08072,0
2,Kmeans,0.023759,1
2,Kmeans,0.036031,1
2,Kmeans,0.062286,0
2,Kmeans,0.034909,0
2,Kmeans,0.130906,0
2,Kmeans,0.057395,0
2,Kmeans,0.091086,1
2,Kmeans,0.127891,1
2,Kmeans,0.09588,0
2,Kmeans,0.006831,1
2,Kmeans,0.067443,0
2,Kmeans,0.094478,1
2,Kmeans,0.083431,1
2,Kmeans,0.048259,1
2,Kmeans,0.073292,1
2,Kmeans,0.10861,0
2,Kmeans,0.126277,0
2,Kmeans,0.047272,1
2,Kmeans,0.067906,0
2,Kmeans,0.071436,0
2,Kmeans,0.108449,1
2,Kmeans,0.001804,0
2,Kmeans,0.010223,0
2,Kmeans,0.064756,0
2,Kmeans,0.159552,0
2,Kmeans,0.03673,1
2,Kmeans,0.017134,0
2,Kmeans,0.126557,1
2,Kmeans,0.028144,1
2,Kmeans,0.029792,0
2,Kmeans,0.116583,1
2,Kmeans,0.064804,1
2,Kmeans,0.005459,1
2,Kmeans,0.116345,1
2,Kmeans,0.005181,0
2,Kmeans,0.103047,0
2,Kmeans,0.101856,1
2,Kmeans,0.137115,0
2,Kmeans,0.089237,1
2,Kmeans,0.113239,0
2,Kmeans,0.03683,0
2,Kmeans,0.104578,1
2,Kmeans,0.032852,0
2,Kmeans,0.11294,1
2,Kmeans,0.011401,0
2,Kmeans,0.106685,1
2,Kmeans,0.000921,0
2,Kmeans,0.106164,1
2,Kmeans,0.118322,1
2,Kmeans,0.070222,0
2,Kmeans,0.055243,1
2,Kmeans,0.07786,0
2,Kmeans,0.103755,0
2,Kmeans,0.016211,0
2,Kmeans,0.039975,0
2,Kmeans,0.040482,0
2,Kmeans,0.080361,1
2,Kmeans,0.123157,1
2,Kmeans,0.141172,1
2,Kmeans,0.125145,0
2,Kmeans,0.11243,1
2,Kmeans,0.074917,1
2,Kmeans,0.123207,1
2,Kmeans,0.144444,0
2,Kmeans,0.03298,0
2,Kmeans,0.139425,1
2,Kmeans,0.030196,0
2,Kmeans,0.130248,0
2,Kmeans,0.111786,0
2,Kmeans,0.039471,1
2,Kmeans,0.078883,1
2,Kmeans,0.022809,1
2,Kmeans,0.018937,0
2,Kmeans,0.080207,0
2,Kmeans,0.133025,0
2,Kmeans,0.097347,1
2,Kmeans,0.050531,0
2,Kmeans,0.025136,0
2,Kmeans,0.14174,0
2,Kmeans,0.064086,1
2,Kmeans,0.089825,1
2,Kmeans,0.015858,0
2,Kmeans,0.111725,0
2,Kmeans,0.053435,0
2,Kmeans,0.092544,1
2,Kmeans,0.027816,1
2,Kmeans,0.118619,0
2,Kmeans,0.06258,1
2,Kmeans,0.081161,1
2,Kmeans,0.090446,0
2,Kmeans,0.104815,1
2,Kmeans,0.072822,0
2,Kmeans,0.018728,0
2,Kmeans,0.0775,0
2,Kmeans,0.085659,0
2,Kmeans,0.077573,0
2,Kmeans,0.151701,0
2,Kmeans,0.009117,1
2,Kmeans,0.05402,1
2,Kmeans,0.094605,1
2,Kmeans,0.060275,0
2,Kmeans,0.114721,1
2,Kmeans,0.082388,1
2,Kmeans,0.057885,1
2,Kmeans,0.082895,1
2,Kmeans,0.026404,0
2,Kmeans,0.123829,1
2,Kmeans,0.02885,0
2,Kmeans,0.086269,1
2,Kmeans,0.080043,1
2,Kmeans,0.148331,0
2,Kmeans,0.087948,1
2,Kmeans,0.037636,1
2,Kmeans,0.079907,0
2,Kmeans,0.120033,1
2,Kmeans,0.047771,1
2,Kmeans,0.072778,1
2,Kmeans,0.106046,1
2,Kmeans,0.077082,0
2,Kmeans,0.110384,0
2,Kmeans,0.034526,0
2,Kmeans,0.031467,1
2,Kmeans,0.077696,1
2,Kmeans,0.120019,1
2,Kmeans,0.079402,0
2,Kmeans,0.096801,1
2,Kmeans,0.06165,1
2,Kmeans,0.042818,1
2,Kmeans,0.01651,0
2,Kmeans,0.133017,0
2,Kmeans,0.015273,0
2,Kmeans,0.000482,1
2,Kmeans,0.061419,1
2,Kmeans,0.087193,1
2,Kmeans,0.088387,1
2,Kmeans,0.095751,1
2,Kmeans,0.056839,0
2,Kmeans,0.063014,0
2,Kmeans,0.061401,1
2,Kmeans,0.109528,0
2,Kmeans,0.110882,1
2,Kmeans,0.138166,0
2,Kmeans,0.015114,0
2,Kmeans,0.071285,0
2,Kmeans,0.027777,1
2,Kmeans,0.075235,1
2,Kmeans,0.056511,0
2,Kmeans,0.13986,1
2,Kmeans,0.079799,1
2,Kmeans,0.073148,1
2,Kmeans,0.073534,0
2,Kmeans,0.115491,1
2,Kmeans,0.126733,0
2,Kmeans,0.11165,1
2,Kmeans,0.059753,1
2,Kmeans,0.041597,0
2,Kmeans,0.110909,1
2,Kmeans,0.101004,1
2,Kmeans,0.065674,0
2,Kmeans,0.027189,0
2,Kmeans,0.111952,1
2,Kmeans,0.101978,0
2,Kmeans,0.070124,0
2,Kmeans,0.097957,1
2,Kmeans,0.113438,0
2,Kmeans,0.052643,1
2,Kmeans,0.047203,0
2,Kmeans,0.066376,1
2,Kmeans,0.053173,1
2,Kmeans,0.00704,1
2,Kmeans,0.071011,1
2,Kmeans,0.103086,1
2,Kmeans,0.121832,1
2,Kmeans,0.118558,0
2,Kmeans,0.128137,1
2,Kmeans,0.118234,1
2,Kmeans,0.094343,1
2,Kmeans,0.142201,0
2,Kmeans,0.034398,1
2,Kmeans,0.075052,0
2,Kmeans,0.029535,1
2,Kmeans,0.094228,0
2,Kmeans,0.081487,0
2,Kmeans,0.083981,0
2,Kmeans,0.03677,0
2,Kmeans,0.118283,1
2,Kmeans,0.095256,0
2,Kmeans,0.018904,0
2,Kmeans,0.070534,1
2,Kmeans,0.112015,0
2,Kmeans,0.071603,0
2,Kmeans,0.123825,1
2,Kmeans,0.07697,1
2,Kmeans,0.110128,0
2,Kmeans,0.090792,1
2,Kmeans,0.023298,0
2,Kmeans,0.092773,1
2,Kmeans,0.089864,1
2,Kmeans,0.082149,1
2,Kmeans,0.075359,1
2,Kmeans,0.055621,0
2,Kmeans,0.105607,1
2,Kmeans,0.035924,1
2,Kmeans,0.060583,0
2,Kmeans,0.110413,1
2,Kmeans,0.106684,0
2,Kmeans,0.09211,1
2,Kmeans,0.021028,0
2,Kmeans,0.0207,0
2,Kmeans,0.093003,0
2,Kmeans,0.138383,0
2,Kmeans,0.102774,1
2,Kmeans,0.007368,0
2,Kmeans,0.062407,0
2,Kmeans,0.102267,1
2,Kmeans,0.005495,0
2,Kmeans,0.068574,0
2,Kmeans,0.057117,0
2,Kmeans,0.058451,1
2,Kmeans,0.07634,0
2,Kmeans,0.098517,0
2,Kmeans,0.053513,0
2,Kmeans,0.116025,1
2,Kmeans,0.108146,1
2,Kmeans,0.056478,1
2,Kmeans,0.027769,0
2,Kmeans,0.074533,0
2,Kmeans,0.131893,1
2,Kmeans,0.012169,1
2,Kmeans,0.069024,1
2,Kmeans,0.054412,1
2,Kmeans,0.005739,1
