k,GMM,Kmeans
2,0.22105606904828015,0.07140248886259119
3,0.09013408102150315,0.06981321366427404
4,0.039722963345055595,0.0672046877369018
5,0.031165581539212985,0.06344895039773467
6,0.02794063977019531,0.07111782559455017
7,0.02624955314963915,0.039381430586017736
8,0.002373045523125912,0.05976963031378724
9,-0.001666508469855448,0.07252899919170583
10,0.007542032868790492,0.056467827027366635
15,0.03155430820057232,0.05869461685364591
20,0.05453068547342876,0.07234760125086226
25,0.04418998502402919,0.07255365825021608
30,0.04713551393295896,0.0908617571339551
35,0.0563617899049842,0.10772960083498347
40,0.08189741116247688,0.1198157834573736
