k,GMM,Kmeans
2,0.10285361975947087,0.12839860401785844
3,0.09744639824681348,0.0867808878191123
4,0.07277305869848419,0.07969578359485568
5,0.06494209816062611,0.07584336257154889
6,0.05772769001737033,0.07190750293230883
7,0.044353933065662314,0.06058448786034736
8,0.040074873338379516,0.05383097410429145
9,0.04849499555880875,0.06376911055258755
10,0.050778518364053005,0.06492209209427707
15,0.05247198152345461,0.050660109189299904
20,0.0477023138693521,0.05061281851874645
25,0.04274930854889013,0.04968849392547306
30,0.0440493899476459,0.04603310284145343
35,0.04317706992640698,0.04698772260196564
40,0.04178425933070165,0.045369817958357817
