k,type,score,label
2,Kmeans,0.172916,0
2,Kmeans,0.342762,0
2,Kmeans,0.216679,1
2,Kmeans,0.273604,0
2,Kmeans,0.126679,1
2,Kmeans,0.310183,0
2,Kmeans,0.079973,1
2,Kmeans,0.101234,1
2,Kmeans,-0.031243,1
2,Kmeans,0.19911,0
2,Kmeans,0.078279,1
2,Kmeans,0.090395,1
2,Kmeans,0.219768,1
2,Kmeans,0.044358,1
2,Kmeans,0.253885,0
2,Kmeans,0.398072,0
2,Kmeans,0.201689,1
2,Kmeans,0.046808,1
2,Kmeans,0.192813,1
2,Kmeans,0.398721,0
2,Kmeans,0.330108,0
2,Kmeans,-0.019513,1
2,Kmeans,0.36631,0
2,Kmeans,0.207906,1
2,Kmeans,0.112771,1
2,Kmeans,0.168141,0
2,Kmeans,0.153857,1
2,Kmeans,0.103896,1
2,Kmeans,0.300574,0
2,Kmeans,0.002303,1
2,Kmeans,0.147631,1
2,Kmeans,0.039904,1
2,Kmeans,0.198762,1
2,Kmeans,0.288181,0
2,Kmeans,-0.029591,1
2,Kmeans,0.389127,0
2,Kmeans,-0.036989,1
2,Kmeans,0.07695,1
2,Kmeans,0.267834,0
2,Kmeans,0.207128,0
2,Kmeans,0.052895,1
2,Kmeans,0.360204,0
2,Kmeans,0.002488,1
2,Kmeans,0.055043,1
2,Kmeans,0.396429,0
2,Kmeans,0.222049,1
2,Kmeans,0.265402,0
2,Kmeans,0.112421,1
2,Kmeans,0.024925,1
2,Kmeans,0.390472,0
2,Kmeans,0.222838,1
2,Kmeans,0.332517,0
2,Kmeans,-0.048405,1
2,Kmeans,0.383778,0
2,Kmeans,0.004237,1
2,Kmeans,0.371421,0
2,Kmeans,0.382703,0
2,Kmeans,-0.039523,1
2,Kmeans,0.247933,0
2,Kmeans,0.100474,1
2,Kmeans,0.127746,1
2,Kmeans,0.114464,1
2,Kmeans,0.081483,1
2,Kmeans,0.116637,1
2,Kmeans,0.385639,0
2,Kmeans,0.39607,0
2,Kmeans,0.401832,0
2,Kmeans,0.17959,1
2,Kmeans,0.355669,0
2,Kmeans,0.29988,0
2,Kmeans,0.344939,0
2,Kmeans,0.192023,1
2,Kmeans,0.156789,1
2,Kmeans,0.393299,0
2,Kmeans,-0.02062,1
2,Kmeans,0.244144,1
2,Kmeans,0.139482,1
2,Kmeans,-0.010781,1
2,Kmeans,0.163674,0
2,Kmeans,-0.079202,1
2,Kmeans,-0.008618,1
2,Kmeans,0.218985,1
2,Kmeans,0.123126,1
2,Kmeans,0.31949,0
2,Kmeans,0.051865,1
2,Kmeans,0.041669,1
2,Kmeans,0.259555,1
2,Kmeans,0.246377,0
2,Kmeans,0.345321,0
2,Kmeans,0.033238,1
2,Kmeans,0.096558,1
2,Kmeans,0.063106,1
2,Kmeans,0.347978,0
2,Kmeans,-0.011603,1
2,Kmeans,0.209662,1
2,Kmeans,0.291681,0
2,Kmeans,0.335622,0
2,Kmeans,0.137606,1
2,Kmeans,0.383936,0
2,Kmeans,0.172839,1
2,Kmeans,0.185603,1
2,Kmeans,0.071812,1
2,Kmeans,0.021347,1
2,Kmeans,0.043317,1
2,Kmeans,0.230206,1
2,Kmeans,0.132271,0
2,Kmeans,0.259062,0
2,Kmeans,0.35249,0
2,Kmeans,0.09806,1
2,Kmeans,0.335723,0
2,Kmeans,0.279157,0
2,Kmeans,0.253466,0
2,Kmeans,0.366735,0
2,Kmeans,0.098681,1
2,Kmeans,0.197002,0
2,Kmeans,0.040362,1
2,Kmeans,0.359574,0
2,Kmeans,0.36568,0
2,Kmeans,0.196723,1
2,Kmeans,0.363317,0
2,Kmeans,0.019786,1
2,Kmeans,0.042641,1
2,Kmeans,0.34693,0
2,Kmeans,0.385184,0
2,Kmeans,-0.029834,1
