k,GMM,Kmeans
2,0.5438775510204081,0.536734693877551
3,0.539795918367347,0.5357142857142857
4,0.5255102040816326,0.5306122448979592
5,0.5479591836734694,0.5306122448979592
6,0.5357142857142857,0.5540816326530612
7,0.5295918367346939,0.5469387755102041
8,0.5326530612244897,0.5377551020408163
9,0.5275510204081633,0.5295918367346939
10,0.5316326530612245,0.5540816326530612
15,0.5510204081632653,0.5653061224489796
20,0.5561224489795918,0.5479591836734694
25,0.5775510204081633,0.5826530612244898
30,0.5816326530612245,0.5816326530612245
35,0.5959183673469388,0.5928571428571429
40,0.5948979591836735,0.5704081632653061
