k,GMM,Kmeans
2,0.01914931541505454,0.023751375278526003
3,0.017271445796502204,0.02115130642505504
4,0.017186745024431266,0.019832445396283427
5,0.017471463261905348,0.018434374622071203
6,0.01750108676804793,0.018674059133867344
7,0.016925133328188808,0.017956683597860946
8,0.017738405982144562,0.018371075144139035
9,0.017659366596221582,0.01830514430159135
10,0.017712505736582052,0.018387764758159165
15,0.015131870604596302,0.016864727411017584
20,0.01676157405791718,0.017721352225049183
25,0.01446740562107277,0.014567659020361607
30,0.015115906328992167,0.015115906328992167
35,0.008929739682040094,0.014518681410186024
40,0.008567129089725397,0.008498499026805061
