k,GMM,Kmeans
2,0.5091836734693878,0.513265306122449
3,0.5357142857142857,0.5214285714285715
4,0.5469387755102041,0.5448979591836735
5,0.5571428571428572,0.5428571428571428
6,0.5377551020408163,0.5357142857142857
7,0.5510204081632653,0.523469387755102
8,0.5408163265306123,0.5571428571428572
9,0.5877551020408164,0.5408163265306123
10,0.5908163265306122,0.5806122448979592
15,0.5744897959183674,0.5897959183673469
20,0.6040816326530613,0.5724489795918367
25,0.5826530612244898,0.6122448979591837
30,0.6010204081632653,0.6081632653061224
35,0.6112244897959184,0.6112244897959184
40,0.613265306122449,0.6163265306122448
