k,GMM,Kmeans
2,-0.0004935629735282723,-0.0002292128354059774
3,0.002843815541374941,0.00014531879631768786
4,0.004286006904025397,0.003797597771844758
5,0.006448419108017138,0.0032688340219977543
6,0.0011402641737889596,0.0008564865158083598
7,0.0022746230891197874,-0.0005947010445028083
8,0.0010369880391049883,0.003270973939629585
9,0.007704212701594086,0.0006517196488822279
10,0.01040855000184705,0.00641776987249671
15,0.0038559530708472665,0.0076601135532546275
20,0.008141379040094023,0.002567586946511015
25,0.0035190035188019725,0.007336788265949702
30,0.0053523642300523635,0.007651966904364859
35,0.006023920408050474,0.006946847054557309
40,0.005149249544838426,0.007524692256984493
