k,GMM,Kmeans
2,0.05003218106245169,0.050194775543050615
3,0.018092324174795858,0.04444921917753488
4,0.015173862020717285,0.04302526929011788
5,0.01130942563257406,0.04159448349351267
6,0.006003393628855223,0.044359946732715316
7,0.01181784650866874,0.04331433006504358
8,0.014774103788915704,0.04496165865872966
9,0.014089943976200434,0.04560782819234805
10,0.014813827982631858,0.046122213688986766
15,0.018073157747102445,0.04699596074829784
20,0.02403586031251151,0.04868483483261817
25,0.03828178836027675,0.05232833845342764
30,0.034943044805583176,0.05342542424331639
35,0.04102290658317552,0.04791762471754303
40,0.0428877026128836,0.05198499049398868
