k,GMM,Kmeans
2,0.7592860588519055,0.7592860588519055
3,0.7592860588519055,0.7592860588519055
4,0.7592860588519055,0.7592860588519055
5,0.7592860588519055,0.7592860588519055
6,0.7592860588519055,0.7592860588519055
7,0.7698986975397974,0.7592860588519055
8,0.7901591895803184,0.7592860588519055
9,0.7626628075253257,0.7592860588519055
10,0.779064158224795,0.7592860588519055
15,0.7732754462132175,0.7795465508924264
20,0.7814761215629522,0.7867824409068982
25,0.7771345875542692,0.7858176555716353
30,0.8017366136034733,0.7838880849011095
35,0.788712011577424,0.8084901109503135
40,0.8012542209358418,0.8080077182826821
