k,GMM,Kmeans
2,0.0053363277633518055,0.14640673264634257
3,0.08353697574045606,0.053039412061418004
4,0.06623041644846425,0.06900218170396236
5,0.054422308359952765,0.03408836286796952
6,0.04450010068083,0.0638072968510876
7,0.0466545397579455,0.05223113990713066
8,0.05902597103138134,0.047012276874527054
9,0.045777205914580045,0.04756265479309167
10,0.04541569757620793,0.045734402477213255
15,0.040940063383160225,0.04469836127347785
20,0.04214288277449258,0.043969539437515824
25,0.03674122243196525,0.04054292162133512
30,0.04033220239942144,0.0370763001162211
35,0.03708445312194837,0.04076254338600028
40,0.03941756985245634,0.04190765849114412
