k,type,score,label
2,Kmeans,0.070565,0
2,Kmeans,0.204118,0
2,Kmeans,0.036809,1
2,Kmeans,0.09844,0
2,Kmeans,0.082085,1
2,Kmeans,0.17937,0
2,Kmeans,0.032853,1
2,Kmeans,0.03739,1
2,Kmeans,-0.008497,1
2,Kmeans,0.108508,0
2,Kmeans,0.015201,1
2,Kmeans,0.032347,1
2,Kmeans,0.063602,1
2,Kmeans,0.027222,1
2,Kmeans,0.146809,0
2,Kmeans,0.227805,0
2,Kmeans,0.085819,1
2,Kmeans,0.009894,1
2,Kmeans,0.0386,1
2,Kmeans,0.221155,0
2,Kmeans,0.206255,0
2,Kmeans,0.110465,0
2,Kmeans,0.206974,0
2,Kmeans,0.052881,1
2,Kmeans,0.030396,1
2,Kmeans,0.102721,0
2,Kmeans,0.080662,1
2,Kmeans,0.01765,1
2,Kmeans,0.116394,0
2,Kmeans,0.011259,1
2,Kmeans,0.086506,1
2,Kmeans,0.058867,1
2,Kmeans,0.062682,1
2,Kmeans,0.149637,0
2,Kmeans,0.079833,0
2,Kmeans,0.173393,0
2,Kmeans,0.126506,0
2,Kmeans,0.022459,1
2,Kmeans,0.155452,0
2,Kmeans,0.093593,0
2,Kmeans,-0.012202,1
2,Kmeans,0.213323,0
2,Kmeans,0.009536,1
2,Kmeans,0.016602,1
2,Kmeans,0.229851,0
2,Kmeans,0.070077,1
2,Kmeans,0.125591,0
2,Kmeans,0.032378,1
2,Kmeans,0.041807,1
2,Kmeans,0.215927,0
2,Kmeans,0.088122,1
2,Kmeans,0.180944,0
2,Kmeans,0.020758,1
2,Kmeans,0.217051,0
2,Kmeans,0.018743,1
2,Kmeans,0.229943,0
2,Kmeans,0.176719,0
2,Kmeans,-0.020862,1
2,Kmeans,0.129929,0
2,Kmeans,0.083166,1
2,Kmeans,0.04877,1
2,Kmeans,0.062778,1
2,Kmeans,0.009472,1
2,Kmeans,0.020373,1
2,Kmeans,0.209546,0
2,Kmeans,0.222544,0
2,Kmeans,0.232116,0
2,Kmeans,0.074047,1
2,Kmeans,0.218416,0
2,Kmeans,0.180363,0
2,Kmeans,0.19128,0
2,Kmeans,0.044849,1
2,Kmeans,0.062745,1
2,Kmeans,0.230516,0
2,Kmeans,0.012975,1
2,Kmeans,0.108357,1
2,Kmeans,0.048362,1
2,Kmeans,0.107202,0
2,Kmeans,0.102783,0
2,Kmeans,0.132584,0
2,Kmeans,0.032394,1
2,Kmeans,0.076777,1
2,Kmeans,0.055548,1
2,Kmeans,0.176524,0
2,Kmeans,0.012029,1
2,Kmeans,0.026903,1
2,Kmeans,0.125777,1
2,Kmeans,0.107186,0
2,Kmeans,0.210072,0
2,Kmeans,0.007017,1
2,Kmeans,0.04273,1
2,Kmeans,0.020626,1
2,Kmeans,0.217847,0
2,Kmeans,0.003997,1
2,Kmeans,0.099101,1
2,Kmeans,0.178087,0
2,Kmeans,0.184237,0
2,Kmeans,0.082656,1
2,Kmeans,0.170428,0
2,Kmeans,0.061737,1
2,Kmeans,0.102143,1
2,Kmeans,0.07018,1
2,Kmeans,-0.000436,1
2,Kmeans,0.052449,1
2,Kmeans,0.120729,1
2,Kmeans,0.076868,0
2,Kmeans,0.146405,0
2,Kmeans,0.221373,0
2,Kmeans,0.048936,1
2,Kmeans,0.200024,0
2,Kmeans,0.107694,0
2,Kmeans,0.144365,0
2,Kmeans,0.21585,0
2,Kmeans,0.023534,1
2,Kmeans,0.116945,0
2,Kmeans,0.001268,1
2,Kmeans,0.229907,0
2,Kmeans,0.213707,0
2,Kmeans,0.065192,1
2,Kmeans,0.231029,0
2,Kmeans,-0.002954,1
2,Kmeans,0.024006,1
2,Kmeans,0.174519,0
2,Kmeans,0.201818,0
2,Kmeans,0.107239,0
2,Kmeans,0.223943,0
2,Kmeans,0.076962,1
2,Kmeans,0.095048,1
2,Kmeans,0.077106,1
2,Kmeans,0.007033,1
2,Kmeans,0.15922,0
2,Kmeans,0.218193,0
2,Kmeans,0.050939,1
2,Kmeans,0.21957,0
2,Kmeans,0.097335,0
2,Kmeans,0.158561,0
2,Kmeans,0.046708,1
2,Kmeans,0.107842,1
2,Kmeans,0.001245,1
2,Kmeans,-0.018786,1
2,Kmeans,0.183665,0
2,Kmeans,0.139644,0
2,Kmeans,0.207167,0
2,Kmeans,0.149401,0
2,Kmeans,0.026825,1
2,Kmeans,0.028309,1
2,Kmeans,0.118114,0
2,Kmeans,0.096622,1
2,Kmeans,0.210338,0
2,Kmeans,0.123973,1
2,Kmeans,0.057494,1
2,Kmeans,0.035762,1
2,Kmeans,0.003652,1
2,Kmeans,0.1279,0
2,Kmeans,0.062692,1
2,Kmeans,0.175594,0
2,Kmeans,0.09134,0
2,Kmeans,0.159266,0
2,Kmeans,0.02769,1
2,Kmeans,0.16333,0
2,Kmeans,0.019506,1
2,Kmeans,0.150767,0
2,Kmeans,0.120279,0
2,Kmeans,0.034637,1
2,Kmeans,0.170811,0
2,Kmeans,0.218415,0
2,Kmeans,0.013633,1
2,Kmeans,0.046564,1
2,Kmeans,0.19454,0
2,Kmeans,0.070634,1
2,Kmeans,0.055781,1
2,Kmeans,0.11445,0
2,Kmeans,0.051945,1
2,Kmeans,0.107247,0
2,Kmeans,0.040242,1
2,Kmeans,0.180225,0
2,Kmeans,0.113486,0
2,Kmeans,0.119879,0
2,Kmeans,0.102387,0
2,Kmeans,0.19202,0
2,Kmeans,0.218304,0
2,Kmeans,0.036492,1
2,Kmeans,0.222291,0
2,Kmeans,0.220538,0
2,Kmeans,0.160613,0
2,Kmeans,0.060737,1
2,Kmeans,0.092909,0
2,Kmeans,0.030956,1
2,Kmeans,0.149589,0
2,Kmeans,0.048898,1
2,Kmeans,0.040693,1
2,Kmeans,0.081481,1
2,Kmeans,0.021798,1
2,Kmeans,0.223143,0
2,Kmeans,0.041849,1
2,Kmeans,0.068416,1
2,Kmeans,0.158657,0
2,Kmeans,0.046961,1
2,Kmeans,0.059428,1
2,Kmeans,0.233495,0
2,Kmeans,0.20834,0
2,Kmeans,0.022005,1
2,Kmeans,0.225373,0
2,Kmeans,0.05714,1
2,Kmeans,0.222091,0
2,Kmeans,0.262294,0
2,Kmeans,0.129731,0
2,Kmeans,0.191417,0
2,Kmeans,0.047033,1
2,Kmeans,0.198635,0
2,Kmeans,0.196701,0
2,Kmeans,0.072977,1
2,Kmeans,0.118357,0
2,Kmeans,0.037582,1
2,Kmeans,0.209683,0
2,Kmeans,-0.016662,1
2,Kmeans,0.042972,1
2,Kmeans,0.031117,1
2,Kmeans,0.065154,1
2,Kmeans,0.171409,0
2,Kmeans,0.050358,1
2,Kmeans,0.041122,1
2,Kmeans,0.123915,0
2,Kmeans,0.066783,1
2,Kmeans,-0.003389,1
2,Kmeans,0.040392,1
2,Kmeans,0.193492,0
2,Kmeans,0.056014,1
2,Kmeans,0.047843,1
2,Kmeans,0.00666,1
2,Kmeans,0.223435,0
2,Kmeans,0.125073,0
2,Kmeans,0.161595,0
2,Kmeans,0.058145,1
2,Kmeans,0.090229,1
2,Kmeans,0.235646,0
2,Kmeans,0.000616,1
2,Kmeans,0.091179,0
2,Kmeans,0.10972,0
2,Kmeans,0.102795,0
2,Kmeans,0.054748,1
2,Kmeans,0.215482,0
2,Kmeans,0.046579,1
2,Kmeans,0.228498,0
2,Kmeans,0.023091,1
2,Kmeans,0.039679,1
2,Kmeans,0.228544,0
2,Kmeans,0.064731,1
2,Kmeans,0.047935,1
2,Kmeans,0.033944,1
2,Kmeans,0.000649,1
2,Kmeans,0.044359,1
