k,GMM,Kmeans
2,0.14458498543272666,0.19066767083814437
3,0.16779013567060339,0.20205764929821213
4,0.15810267169577705,0.20067365153653668
5,0.16582569111284287,0.2219643254562843
6,0.17262493087848932,0.2389681946306906
7,0.1504806165210303,0.23615032893873728
8,0.14888431909163233,0.20953371543149554
9,0.09669228874645976,0.22443355964764392
10,0.11200975586395315,0.21338109282813544
15,0.12687387373427048,0.2325614584768475
20,0.14683362726825014,0.24322523031928445
25,0.13091325744811314,0.2381425436262476
30,0.11816247031621575,0.2029699979202455
35,0.10278762857250331,0.225642573686712
40,0.14406750814856142,0.22877269884120816
