k,GMM,Kmeans
2,0.09382259537792888,0.1077895270166806
3,0.08063035018888053,0.0984937515424165
4,0.06874818352510148,0.09098534886047087
5,0.06463950689372713,0.08582637465235068
6,0.05754738943664241,0.08164904578578375
7,0.05195098869405445,0.08259741722621956
8,0.05401134693645197,0.08489561976904439
9,0.04830528240401213,0.08124417341477141
10,0.04276409841097385,0.07810602189154388
15,0.03457354161919323,0.07682518926011701
20,0.042197574138146766,0.07328071279165423
25,0.043494520274698294,0.07749816275304353
30,0.04791953789072708,0.07435812100774056
35,0.04857724248085352,0.07217328948527557
40,0.05447572377730698,0.0725994475069689
