k,GMM,Kmeans
2,0.7592860588519055,0.7592860588519055
3,0.7592860588519055,0.7592860588519055
4,0.7592860588519055,0.7723106608779546
5,0.7809937288953208,0.7723106608779546
6,0.779064158224795,0.7776169802219006
7,0.7689339122045344,0.7776169802219006
8,0.7756874095513748,0.8263386396526773
9,0.7756874095513748,0.8263386396526773
10,0.7863000482392668,0.8263386396526773
15,0.7969126869271587,0.8195851423058369
20,0.7983598649300531,0.8210323203087313
25,0.8070429329474192,0.8263386396526773
30,0.8133140376266281,0.82392667631452
35,0.8306801736613604,0.82392667631452
40,0.8277858176555717,0.829232995658466
