k,GMM,Kmeans
2,0.11835302036607878,0.12278683015723706
3,0.1262579887939285,0.08841224239869745
4,0.07037927320415321,0.08625714281006697
5,0.07535734913029905,0.07151677822101946
6,0.07708929158719403,0.07499239052101564
7,0.07331895003704911,0.06993859246405931
8,0.07153035980739562,0.07630881042940144
9,0.06683820490049562,0.07216441494852556
10,0.06877873479282687,0.06959130796912245
15,0.06314528272332813,0.060534250356203044
20,0.05862746761878408,0.0567443205312466
25,0.0570327126994601,0.0530083650733155
30,0.057348530094422936,0.05233169872468617
35,0.06069754503510854,0.0503540630322495
40,0.05871848263425335,0.051483608031478875
