k,GMM,Kmeans
2,0.2769202520570613,0.27811911336339
3,0.2609476579425933,0.2794815799621555
4,0.2748471902126388,0.30263153059115644
5,0.2934642606670951,0.3014042846318941
6,0.2857663866744109,0.30704374786353644
7,0.2777786192087642,0.300228649269792
8,0.284567870795027,0.2405259941302748
9,0.2862933069264747,0.23911937701989708
10,0.2554421669071163,0.24059362968467043
15,0.18118867823666468,0.2506646059623023
20,0.14645222317235693,0.2485752138070083
25,0.11625056215219293,0.2282073305771056
30,0.10034966805040647,0.21785858528850635
35,0.1053826846599251,0.2224643969710202
40,0.08020097910377792,0.22020636327029908
