k,GMM,Kmeans
2,0.5224489795918368,0.5836734693877551
3,0.5265306122448979,0.5418367346938775
4,0.5316326530612245,0.5408163265306123
5,0.5561224489795918,0.560204081632653
6,0.6081632653061224,0.65
7,0.6061224489795919,0.6642857142857143
8,0.5867346938775511,0.6244897959183674
9,0.6214285714285714,0.6989795918367347
10,0.6326530612244898,0.6714285714285714
15,0.6826530612244898,0.726530612244898
20,0.7010204081632653,0.7316326530612245
25,0.7377551020408163,0.7397959183673469
30,0.75,0.7510204081632653
35,0.7785714285714286,0.789795918367347
40,0.7826530612244897,0.753061224489796
