k,GMM,Kmeans
2,0.0007185391498954405,0.01957531616783311
3,0.001006689650839711,0.002574993016996168
4,0.0008361336359994158,0.0025132857798074756
5,0.006641083263551646,0.00707364831966812
6,0.02255565113344721,0.03295707482326571
7,0.019829972637730432,0.03370381616613386
8,0.013172477170046552,0.021521369788957002
9,0.020750982707787045,0.05261784967338991
10,0.024075288742194452,0.035291013324082916
15,0.035227071844105354,0.05169204117322732
20,0.035676794487659494,0.04613413272369732
25,0.0462587172281596,0.045900224286768126
30,0.050108569637235305,0.04622212220361657
35,0.060237200845049015,0.05907304637783022
40,0.06166709507235278,0.05099723316932459
